"uri","iao_preferred_label","iao_definition","label","oio_exact_synonym","iao_alternative_term","rdf_comment","apollo_label","iao_elucidation","oio_related_synonym","skos_alt_label","skos_pref_label","oio_narrow_synonym","skos_definition","obi_isa_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_obo_unique_label","iao_nl_axiom","oio_broad_synonym"
"http://purl.obolibrary.org/obo/IAO_0000027","['data item', 'data item']","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","['data item', 'data item']","","['data']","","","","","","","","","","['datum', 'probability', 'datum set', 'deviation']",4,11,27.853965586583623,12.1633736490308,99.89226140705433,"","",""
"http://purl.obolibrary.org/obo/IAO_0000100","['data set']","['A data item that is an aggregate of other data items of the same type that have something in common. Averages and distributions can be determined for data sets.']","['data set']","","","","['dataSets']","","","","","","","","['datum point', 'datum set']",2,4,47.576701724655464,32.88572643620719,99.69088072217639,"","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000470","","['A data item that is about a proposition and has a numeric value between 0 and 1, inclusive, that is the output of some process of inference, such that 1) logical falsehoods and logical truths are assigned a value of 0 and 1, respectively, while contingent propositions are assigned some intermediate value; and 2) the process of inference conforms with rules for the calculation of probabilities, and that any interpretation of probability must specify the extent to which probabilities might be used to constrain the degrees of belief of rational agents.']","['probability']","","","[""The first criterion is derived from Kolmogorov's Probability Calculus, while the second is derived from Salmon's Admissibility and Applicability Criteria of Adequacy. Salmon's ascertainability criterion is subsumed by the definition for 'data item'.""]","['Probability']","['A data item that is about a proposition and has a numeric value between 0 and 1, inclusive, that is the output of some process of inference, such that 1) logical falsehoods and logical truths are assigned a value of 0 and 1, respectively, while contingent propositions are assigned some intermediate value; and 2) the process of inference conforms with rules for the calculation of probabilities, and that any interpretation of probability must specify the extent to which probabilities might be used to constrain the degrees of belief of rational agents.']","","","","","","","['probability']",1,2,25.889633931493098,25.232166910416673,31.064441328345943,"","",""
"http://purl.obolibrary.org/obo/CL_0000000","['cell', 'cell']","['Anatomical structure that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.', 'A material entity of anatomical origin (part of or deriving from an organism) that has as its parts a maximally connected cell compartment surrounded by a plasma membrane.']","['cell', 'cell']","","","['The definition of cell is intended to represent all cells, and thus a cell is defined as a material entity and not an anatomical structure, which implies that it is part of an organism (or the entirety of one).']","","","","","","","","","['cell']",1,1,30.5040470464155,30.5040470464155,30.5040470464155,"","",""
"http://purl.obolibrary.org/obo/OBI_0200103","['multiple linear regression analysis']","['multiple linear regression is a regression method that models the relationship between a dependent variable Y, independent variables Xi, i = 1, ..., p, and a random term epsilon. The model can be written as\n\n    Y = \\beta_0 + \\beta_1 X_1 + \\beta_2 X_2 + \\cdots +\\beta_p X_p + \\varepsilon\n\nwhere \\beta_0 =  0 is the intercept (""constant"" term), the \\beta_i s  are the respective parameters of independent variables, and p is the number of parameters to be estimated in the linear regression.']","['multiple linear regression analysis']","","","","","","","","","","","","['linear regression']",1,2,24.866297081265387,21.238970757981612,26.148240193885105,"","",""
"http://purl.obolibrary.org/obo/OBI_0302910","['prediction']","['a process by which an  event or an entity is described before it actually happens or is being discovered and identified.']","['prediction']","","","","","","","","","","","","['prediction']",1,3,15.059879291818104,14.618755574046103,20.325759433649036,"","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000448","","['A data item that specifies the dispersion of values around some parameter in a set of data, and whose values are standardized to express the same unit of measure as the parameter of interest.']","['standard deviation']","","['σ']","","['standardDeviation']","['A data item that specifies the dispersion of values around some parameter in a set of data, and whose values are standardized to express the same unit of measure as the parameter of interest.']","","","","","","","['deviation']",1,2,17.21619886086786,15.076295564831785,18.561097058579392,"","",""
"http://purl.obolibrary.org/obo/UO_0000191","","['A dimensionless ratio unit which relates the part (the numerator) to the whole (the denominator).']","['fraction', 'fraction']","","","['""A dimensionless ratio unit which relates the part (the numerator) to the whole (the denominator)."" [Wikipedia:Wikipedia]']","['Fraction']","","","","","","","","['fraction']",1,1,15.205106359309697,15.205106359309697,15.205106359309697,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_272805","","","['Bias']","","","","","","","","","","","","['bia', 'bias']",2,2,7.1690326681381995,5.14456135339502,12.667395938684882,"","",""
"http://purl.obolibrary.org/obo/OBI_0001934","['predicted value']","['an information content entity that has been generated by a prediction process in which an estimate of a value of an entity is made which can be measured but without performing such a measurement. The value specification is intended to be close to the value a measurement process would produce modulo a prediction error.']","['predicted value']","","","","","","","","","","","","['predict value']",1,1,12.000703596002062,12.000703596002062,12.000703596002062,"","",""
