"uri","iao_definition","label","oio_related_synonym","skos_pref_label","oio_exact_synonym","oio_narrow_synonym","rdf_comment","iao_preferred_label","iedb_alternative_term","skos_alt_label","chebi_formula","apollo_label","iao_elucidation","iao_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_synonym","iao_obo_unique_label","iao_nl_axiom"
"http://purl.obolibrary.org/obo/PATO_0000165","['A quality in which events occur in sequence.']","['time']","","","","","","['time']","","","","","","","['time']",1,1,34.943831365105474,34.943831365105474,34.943831365105474,"","",""
"http://purl.obolibrary.org/obo/CHEBI_25944","['Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests.']","['pesticide']","['pesticides', 'Pestizid', 'Pestizide']","","['pesticide']","","","","","","","","","","['pesticide']",1,1,32.201265229503775,32.201265229503775,32.201265229503775,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_28901","","['Salmonella enterica', 'Salmonella enterica']","['Bacillus cholerae-suis', 'Salmonella cholerae-suis', 'Salmonella choleraesuis', 'Salmonella enterica ser. choleraesuis']","","","","","","","","","","","['Bacillus cholerae-suis', 'Salmonella cholerae-suis', 'Salmonella choleraesuis', 'Salmonella enterica ser. choleraesuis']","['salmonella']",1,1,32.15769167544647,32.15769167544647,32.15769167544647,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33232","['Intended use of the molecular entity or part thereof by humans.']","['application']","","","","","","","","","","","","","['application', 'pesticide']",2,2,20.37641171672983,12.891403909802829,31.742359807453127,"","",""
"http://purl.obolibrary.org/obo/CHEBI_17234","['An aldohexose used as a source of energy and metabolic intermediate.']","['glucose', 'Glucose']","['C6H12O6', 'DL-glucose', 'Glc', 'Glukose']","","['gluco-hexose', 'glucose', 'Glucose']","","","['glucose']","","","['C6H12O6']","","","","['glucose']",1,1,26.372453024685687,26.372453024685687,26.372453024685687,"","",""
"http://purl.obolibrary.org/obo/CHEBI_16113","['A cholestanoid consisting of cholestane having a double bond at the 5,6-position as well as a 3beta-hydroxy group.']","['cholesterol']","['(3beta,14beta,17alpha)-cholest-5-en-3-ol', 'Cholest-5-en-3beta-ol', 'Cholesterin']","","['cholest-5-en-3beta-ol', 'cholesterol', 'Cholesterol', 'CHOLESTEROL']","","","","","","['C27H46O']","","","","['cholesterol']",1,1,25.539328669560298,25.539328669560298,25.539328669560298,"","",""
"http://purl.obolibrary.org/obo/OBI_0000427","['(protein or rna) or has_part (protein or rna) and\n\nhas_function some GO:0003824 (catalytic activity)']","['enzyme']","","","","","","['enzyme']","","","","","","","['enzyme']",1,1,20.37294870708793,20.37294870708793,20.37294870708793,"","",""
"http://purl.obolibrary.org/obo/FOODON_03530206","['A planned process involving the rearing, manufacture or distribution of food material.']","['food production']","","","['production area']","","","","","","","","","","['food production']",1,2,9.821209497155444,9.821209497155444,12.09132720471296,"","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000237","['An organism of a particular biological taxon that is the bearer of an infectious dispositions towards an organism of a different particular biological taxon.']","['pathogen']","","","","","","","","","","['pathogen']","['An organism, virus, or prion that can infect another organism.']","","['pathogen']",1,1,10.530485452509014,10.530485452509014,10.530485452509014,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_590","","['Salmonella', 'Salmonella']","","","","","","","","","","","","","['salmonella']",1,1,9.393111900724753,9.393111900724753,9.393111900724753,"","",""
"http://purl.obolibrary.org/obo/GO_0030870","['Trimeric protein complex that possesses endonuclease activity; involved in meiotic recombination, DNA repair and checkpoint signaling. In Saccharomyces cerevisiae, the complex comprises Mre11p, Rad50p, and Xrs2p; complexes identified in other species generally contain proteins orthologous to the Saccharomyces cerevisiae proteins.']","['Mre11 complex']","","","['MRN complex', 'MRX complex', 'Rad50 complex', 'RAD50-MRE11-NBN complex', 'Rad50-Rad32-Nbs1 complex', 'RMX complex']","","","","","","","","","","['complex']",1,1,9.17136171918711,9.17136171918711,9.17136171918711,"","",""
"http://purl.obolibrary.org/obo/PATO_0000516","[""A quality inhering in a bearer by virtue of the bearer's having sensitivity toward an external stimulus.""]","['sensitive toward']","","","['sensitive']","","","","","","","","","","['sensitive']",1,1,8.422831755810074,8.422831755810074,8.422831755810074,"","",""
"http://purl.obolibrary.org/obo/RO_0002577","['A material entity consisting of multiple components that are causally integrated.']","['system']","","","","","","","","","","","","","['system']",1,1,8.20407133170576,8.20407133170576,8.20407133170576,"","",""
"http://purl.obolibrary.org/obo/XCO_0000197","['Any substance that indicates the presence, absence, or concentration of another substance or the degree of reaction between substances by means of a characteristic change, especially in color.']","['indicator']","","","","","","","","","","","","","['indicator']",1,1,6.894376534669262,6.894376534669262,6.894376534669262,"","",""
