"uri","iao_definition","oio_exact_synonym","label","iao_preferred_label","rdf_comment","skos_pref_label","oio_related_synonym","iao_alternative_term","obi_isa_term","iedb_alternative_term","obo_external_ontology_notes","obo_homology_notes","skos_alt_label","apollo_label","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym","iao_nl_axiom"
"http://purl.obolibrary.org/obo/CHMO_0002170","[""An image obtained by using a sharp spike (known as a 'tip') mounted on the end of a cantilever to scan the surface of the specimen, line by line, and recording the force experienced by the tip as a function of position.""]","['AFM image', 'AFM images', 'atomic force microscope (AFM) image', 'atomic force microscope (AFM) images', 'atomic force microscope image', 'atomic force microscope images', 'atomic force microscopy image', 'atomic force microscopy images']","['atomic force micrograph']","","","","","","","","","","","","","['AFM', 'afm']",2,14,21.145752472221453,21.142190096134374,93.32937978415497,"",""
"http://purl.obolibrary.org/obo/UBERON_0001913","['An emulsion of fat globules within a fluid that is secreted by the mammary gland during lactation.']","['mammary gland milk', 'mammal milk']","['milk']","['milk']","['LanguaL curation note: See scope note for *MILK OR MILK COMPONENT*. for lowfat milk use *FAT PARTIALLY REMOVED*; for skim milk, use *FAT FULLY REMOVED* (both found in D3. TREATMENT APPLIED).', 'LanguaL term definition: Milk is a secretion from the mammary glands of female mammals.']","","","","","","['ncit:Milk refers specifically to cow milk']","['The detailed similarities of mammary glands in living monotremes, marsupials, and eutherians argue for a monophyletic origin of these glands, perhaps by the combination of parts of preexisting sebaceous and sweat glands.[well established][VHOG]']","","","","['milk']",1,1,44.84133019530434,44.84133019530434,44.84133019530434,"",""
"http://purl.obolibrary.org/obo/CHMO_0001824","['A magnified image obtained using a microscope to view a small object (or specimen).']","['microphotograph', 'microscope image', 'microscopy image']","['micrograph']","","","","","","","","","","","","","['AFM', 'afm']",2,14,7.604256751876505,7.602975680302038,33.5623226132255,"",""
"http://purl.obolibrary.org/obo/FOODON_00001256","['A dairy food product has mammilian milk or a milk component as an ingredient.']","['dairy product', 'milk product']","['dairy food product']","","","","","['Dairy products']","","","","","","","","['dairy product']",1,1,26.375436627588265,26.375436627588265,26.375436627588265,"",""
"http://purl.obolibrary.org/obo/FOODON_03306581","","","['cow whole milk (pasteurized)']","","[""SIREN DB annotation:\n\n* has quality 'liquid, low viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430123)\n\n* has quality 'partially heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440018)\n\n* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)\n\n* formed as a result of 'pasteurization by heating' (http://purl.obolibrary.org/obo/FOODON_03470135)""]","","","['whole milk']","","","","","","","","['whole milk']",1,1,18.645220817933446,18.645220817933446,18.645220817933446,"",""
"http://purl.obolibrary.org/obo/UBERON_0006539","['A substance that is secreted by a mammary gland. The substance may differ depending on phase, with colostrum produced during pregancy/early lactation, and milk produced afterwards.']","","['mammary gland fluid/secretion']","","","","['lactiferous gland fluid', 'lactiferous gland secretion', 'mammary gland fluid', 'mammary gland secreted fluid', 'mammary gland secretion', 'secretion of mammary gland']","","","","","","","","","['milk']",1,1,18.211238953468587,18.211238953468587,18.211238953468587,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000454","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","","['efficacy']","","['We often say in natural language it is the efficacy of the triggering planned process such as vaccination. However, processes do not have properties such as roles, dispositions, functions, qualities in BFO. And this is also not a process profile, because it is not the process of a quality changing values (determinates) over time. Nevertheless, it is natural to classify efficacies based on the type of triggering process because that is what differentiates what happens when they are realized. For example, a vaccination efficacy will be realized through different processes than a quarantine efficacy. For individual treatments, the triggering process is a treatment (as defined by OGMS).']","","","","","","","","","['efficacy']","['A disposition of an organism to (i) undergo some bodily benefit that (ii) is triggered by a planned process.']","['efficacy']",1,1,12.562470642065557,12.562470642065557,12.562470642065557,"",""
"http://purl.obolibrary.org/obo/GAZ_00099830","","['Arjut Kayaranin kits']","['Archut kayaranin kic']","","","","","","","","","","","","","['kit', 'am1e01 kit']",2,5,3.2099931587945596,3.209993156242157,10.404593168004945,"",""
"http://snomed.info/id/419179001","","","['Kit - unit of product usage (qualifier value)']","","","['Kit - unit of product usage']","","","","","","","['Kit', 'Kits']","","","['kit']",1,2,7.846486919890073,7.846418380042854,9.660074153356629,"",""
"http://snomed.info/id/170968001","","","['Prognosis good (finding)']","","","['Prognosis good']","","","","","","","['Good prognosis', 'Prognosis favourable', 'Prognosis favorable']","","","['prognosis']",1,5,5.942208560856239,5.942208559849877,9.630279501444901,"",""
