"uri","label","skos_definition","skos_pref_label","iao_definition","oio_exact_synonym","apollo_label","iao_preferred_label","iao_elucidation","rdf_comment","skos_alt_label","iao_alternative_term","oio_related_synonym","obo_external_definition","obo_relational_adjective","obo_taxon_notes","oio_synonym","oio_narrow_synonym","chebi_formula","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHMO_0002316","['pulsed-field gel electrophoresis']","","","['A separation method where colloidal particles move at different speeds according to their electrophoretic mobilities in a separation medium consisting of gel, across which a pulsed electric field is applied (one in which the voltage direction is periodically switched among three directions; one that runs through the central axis of the gel and two that run at an angle of 120° either side).']","['PFGE', 'pulsed field gel electrophoresis']","","","","","","","","","","","","","","['pfge', 'pfge type', 'pulsed field gel electrophoresis']",3,6,19.127259961495355,7.630530455835047,39.1851361368187,""
"http://purl.obolibrary.org/obo/OBI_0302893","['storage', 'storage']","","","['A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability', 'A maintenance process by which material entities that are not actively metabolizing are placed in well identified location and possibly under controlled environment in ad-hoc devices/structures in order to preserve and protect them from decay/alteration and maintain availability.']","","","['storage']","","","","","","","","","","","","['storage']",1,1,34.18258983106885,34.18258983106885,34.18258983106885,""
"http://snomed.info/id/66543000","['Campylobacter jejuni (organism)']","","['Campylobacter jejuni']","","","","","","","['Campylobacter fetus ss. jejuni']","","","","","","","","","['campylobacter jejuni']",1,2,27.369795469272148,27.367509829548645,33.693356833810896,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000330","['colonization']","","","['a reproduction of a pathogen of a particular biological taxon inside a host organism of another taxon, without invasion of the tissues of the host.']","","['Colonization']","['biological colonization']","['a reproduction of a pathogen of a particular biological taxon inside a host organism of another taxon, without invasion of the tissues of the host.']","['Primary use case is colonization of humans, animals with Staph aureus, but it also covers bacteriuria, transient bactermia, and normal gut flora.']","","","","","","","","","","['colonization', 'colonize']",2,4,12.323628818342764,9.337076226280438,28.304722237887297,""
"http://purl.obolibrary.org/obo/OBI_0000430","['plasmid']","","","['plasmid = DNA and has_quality circular and has_function\n\n(is_realized_as some gene expression) GO:0010467']","","","['plasmid']","","","","","","","","","","","","['plasmid']",1,1,23.960621533922183,23.960621533922183,23.960621533922183,""
"http://purl.obolibrary.org/obo/PATO_0001985","['frozen']","","","[""A quality inhering in a bearer by virtue of the bearer's being kept below its freezing point.""]","","","['frozen']","","","","","","","","","","","","['frozen']",1,1,21.601528919470642,21.601528919470642,21.601528919470642,""
"http://purl.obolibrary.org/obo/CHMO_0002315","['pulsed-field electrophoresis']","","","['A separation method where colloidal particles move at different speeds according to their electrophoretic mobilities in a separation medium, across which a pulsed electric field is applied (a field in which the voltage changes direction).']","","","","","","","","","","","","","","","['pfge', 'pfge type', 'pulsed field gel electrophoresis']",3,6,9.563629980747677,3.8152652279175236,19.59256806840935,""
"http://purl.obolibrary.org/obo/OBI_0600008","['acquisition']","","","['the planned process of gaining possession of a continuant']","","","['acquisition']","","","","","","","","","","","","['acquisition']",1,1,18.46392749000818,18.46392749000818,18.46392749000818,""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000238","['host']","","","['An organism of a particular biological taxon that is the site of reproduction of an organism of a different taxon.']","","['host']","","['An organism of a particular biological taxon that is the site of reproduction of an organism of a different taxon.']","","","","","","","","","","","['host']",1,2,26.016263430488856,13.626748554199697,16.77649535455887,""
"http://purl.obolibrary.org/obo/UBERON_0000160","['intestine']","","","['Segment of the alimentary canal extending from the stomach to the anus and, in humans and other mammals, consists of two segments, the small intestine and the large intestine.']","['bowel']","","","","","","['intestine']","['intestinal tract']","['Portion of the alimentary canal bounded anteriorly by the pyloric sphincter and posteriorly by the cloacal sphincter.[AAO]', ""The tract of the alimentary canal. [Dorian_AF, Elsevier's_encyclopaedic_dictionary_of_medicine, Part_B:_Anatomy_(1988)_Amsterdam_etc.:_Elsevier][VHOG]""]","['intestinal']","['In zebrafish, No stomach, small intestine, or large intestine can be distinguished. However, differences can be found in the morphology of the mucosa columnar epithelial cells and the number of goblet cells, suggesting functional differentiation. The intestine has numerous folds that become progressively shorter in a rostral-to-caudal direction. Proportionally, these folds are significantly larger than the finger-like intestinal villi of mammals and other amniotes (Wallace et al. 2005). Columnar-shaped absorptive enterocytes are the most numerous in the zebrafish intestinal epithelium. Goblet cells are the second most populous epithelial cell type.']","","","","['intestine']",1,1,15.628917358925879,15.628917358925879,15.628917358925879,""
"http://purl.obolibrary.org/obo/PATO_0001227","['variant']","","","['A variability quality inhering in a bearer by virtue of whether the bearer exhibits variation or change.']","['variable']","","","","","","","","","","","","","","['variant']",1,6,12.981021230627054,8.50192838745001,14.553344760496683,""
"http://purl.obolibrary.org/obo/NCBITaxon_8782","['Aves']","","","","['birds']","","","","","","","['avian', 'birds']","","","","['avian']","","","['bird']",1,2,10.245900423731188,10.245482380574199,12.613668394867698,""
"http://purl.obolibrary.org/obo/OBI_0000838","['material maintenance']","","","['a process with that achieves the objective to maintain some or all of the characteristics of an input material over time', 'A process with that achieves the objective to maintain some or all of the characteristics of an input material over time.']","","","['material maintenance']","","","","","","","","","","","","['storage']",1,1,12.292453998078196,12.292453998078196,12.292453998078196,""
"http://purl.obolibrary.org/obo/CHMO_0001021","['gel electrophoresis']","","","['A separation method where colloidal particles move at different speeds according to their electrophoretic mobilities in a separation medium consisting of gel, across which an electric field is applied.']","","","","","","","","","","","","","","","['pfge', 'pfge type', 'pulsed field gel electrophoresis']",3,6,5.3344954962261335,2.128116124965665,10.928535120120008,""
"http://purl.obolibrary.org/obo/GO_0040007","['growth']","","","['The increase in size or mass of an entire organism, a part of an organism or a cell.']","","","","","[""See also the biological process term 'cell growth ; GO:0016049'.""]","","","['growth pattern', 'non-developmental growth']","","","","","","","['growth']",1,1,10.730896722179857,10.730896722179857,10.730896722179857,""
"http://purl.obolibrary.org/obo/CHEBI_60004","['mixture']","","","['A mixture is a chemical substance composed of multiple molecules, at least two of which are of a different kind.']","","","","","","","","['Mischung']","","","","","","","['mixture']",1,2,8.416495575238988,8.339600235546259,10.267252239522724,""
"http://purl.obolibrary.org/obo/MP_0008866","['chromosomal instability']","","","['abnormalities of DNA metabolism, DNA repair, cell-cycle governance, or control of apoptosis that increase the probability that whole chromosomes or pieces of chromosomes are gained or lost during cell division, resulting in an imbalance in the number of chromosomes per cell (aneuploidy) and an enhanced rate of loss of heterozygosity']","","","","","","","","['genomic instability']","","","","","","","['genomic instability']",1,1,9.796632714409432,9.796632714409432,9.796632714409432,""
"http://snomed.info/id/385435006","['Individual (person)']","","['Individual']","","","","","","","","","","","","","","","","['individual']",1,3,9.272065693568806,6.181792003829952,8.59509665527065,""
"http://snomed.info/id/258705008","['week (qualifier value)']","","['week']","","","","","","","['weeks', 'wk']","","","","","","","","","['week']",1,1,8.528796525065555,8.528796525065555,8.528796525065555,""
"http://purl.obolibrary.org/obo/NCBITaxon_194","['Campylobacter']","","","","","","","","","","","['Ampylobacter']","","","","","","","['campylobacter']",1,1,8.299561634927993,8.299561634927993,8.299561634927993,""
"http://purl.obolibrary.org/obo/FOODON_00002616","['avian animal']","","","","['Aves', 'avian', 'bird']","","","","","","","","","","","","","","['avian']",1,1,8.020778042204162,8.020778042204162,8.020778042204162,""
