"uri","label","skos_pref_label","skos_alt_label","oio_exact_synonym","oio_related_synonym","iao_definition","iao_preferred_label","rdf_comment","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_alternative_term","apollo_label"
"http://purl.obolibrary.org/obo/OBI_0302889","['irradiation']","","","","","['irradiation is a process by which a material entity is exposed to radiative energy, which could be ionizing radiation (such as gamma rays or X-rays)  or not such as UV light or microwaves']","['irradiation']","","","['irradiation']",1,2,27.664420632596414,23.953184914591,29.489829789416433,"",""
"http://purl.obolibrary.org/obo/ENVO_21001219","['ionizing radiation']","","","['ionising radiation']","","['A radiation process during which electromagnetic waves or their quanta are emitted with sufficient energy to disrupt molecular bonds or alter the electron number of atoms.']","","","","['gamma-radiation', 'radiation']",2,2,17.344813799657242,9.08989944802633,22.381957846609307,"",""
"http://purl.obolibrary.org/obo/PATO_0000011","['age']","","","","","['A time quality inhering in a bearer by virtue of how long the bearer has existed.']","['age']","","","['age']",1,1,21.69382167933257,21.69382167933257,21.69382167933257,"",""
"http://purl.obolibrary.org/obo/PATO_0000169","['viability']","","","","","[""An organismal quality inhering in a bearer or a population by virtue of the bearer's disposition to survive and develop normally or the number of surviving individuals in a given population.""]","['viability']","","","['viability']",1,2,15.482456472959232,15.482456472959232,19.061139791539595,"",""
"http://purl.obolibrary.org/obo/PATO_0000918","['volume']","","","","","[""A 3-D extent quality inhering in a bearer by virtue of the bearer's amount of 3-dimensional space it occupies.""]","['volume']","","","['volume']",1,1,18.759829846895975,18.759829846895975,18.759829846895975,"",""
"http://purl.obolibrary.org/obo/OBI_0000984","['dose']","","","","","['A measurement datum that measures the quantity of something that may be administered to an organism or that an organism may be exposed to. Quantities of nutrients, drugs, vaccines and toxins are referred to as doses.']","['dose']","","","['dose']",1,3,15.875917177589402,8.35071491747765,11.610743585656435,"",""
"http://purl.obolibrary.org/obo/GO_0051179","['localization']","","","['establishment and maintenance of localization', 'establishment and maintenance of position', 'localisation']","['single organism localization', 'single-organism localization']","['Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation.']","","","['establishment and maintenance of cellular component location', 'establishment and maintenance of substance location', 'establishment and maintenance of substrate location']","['localization']",1,1,9.18454666138802,9.18454666138802,9.18454666138802,"",""
"http://snomed.info/id/76772003","['Gamma radiation (physical force)']","['Gamma radiation']","['Gamma rays']","","","","","","","['gamma ray']",1,1,8.645109931325594,8.645109931325594,8.645109931325594,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_83912","['Psoroptes ovis']","","","['rabbit ear mite', 'scabies mite', 'sheep scab mite']","['Psoroptes cervinus', 'Psoroptes cuniculi', 'Psoroptes equi', 'Psoroptes equi var. cervinus', 'Psoroptes equi var. cuniculi', 'Psoroptes equi var. equi', 'Psoroptes equi var. natalensis', 'Psoroptes equi var. ovis', 'Psoroptes natalensis']","","","","","['t. ovis']",1,3,5.447356787448863,5.447296737135261,7.5738623908100555,"",""
"http://purl.obolibrary.org/obo/PATO_0001710","['3-D extent']","","","['3D size']","","[""A size quality inhering in an bearer by virtue of the bearer's extension in three dimensions.""]","['3-D extent']","","","['volume']",1,1,6.74625142636632,6.74625142636632,6.74625142636632,"",""
"http://purl.obolibrary.org/obo/PATO_0000165","['time']","","","","","['A quality in which events occur in sequence.']","['time']","","","['age']",1,1,6.050296502337343,6.050296502337343,6.050296502337343,"",""
"http://purl.obolibrary.org/obo/UO_0000033","['day']","","","","","['A time unit which is equal to 24 hours.']","['day']","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","","['day']",1,1,5.658377153919371,5.658377153919371,5.658377153919371,"",""
"http://purl.obolibrary.org/obo/PATO_0001995","['organismal quality']","","","","","['A quality that inheres in an entire organism or part of an organism.']","['organismal quality']","","","['viability']",1,2,3.3695653009355957,3.3695653009355957,4.1484214956477405,"",""
