"uri","iao_definition","oio_exact_synonym","label","iao_preferred_label","rdf_comment","oio_broad_synonym","skos_alt_label","skos_pref_label","oio_related_synonym","chebi_formula","oio_synonym","iao_alternative_term","apollo_label","iao_elucidation","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/CHEBI_15366","['A simple monocarboxylic acid containing two carbons.']","['acetic acid', 'Acetic acid', 'ACETIC ACID']","['acetic acid', 'Acetic Acid']","","['LanguaL curation note: See ""food additive"" comments.', 'LanguaL term definition: Food additive; technological purpose(s): acidity regulator, preservative.']","","","","['C2H4O2', 'acide acetique', 'AcOH', 'CC(O)=O', 'CH3-COOH', 'CH3CO2H', 'E 260', 'E-260', 'E260', 'Essigsaeure', 'Ethanoic acid', 'ethoic acid', 'Ethylic acid', 'HOAc', 'InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)', 'InChIKey=QTBSBXVTEAMEQO-UHFFFAOYSA-N', 'INS No. 260', 'MeCO2H', 'MeCOOH', 'Methanecarboxylic acid']","['C2H4O2']","['acetic acid, glacial']","['acetic acid']","","","","['acetic acid']",1,1,37.952354232992725,37.952354232992725,37.952354232992725
"http://purl.obolibrary.org/obo/PATO_0000165","['A quality in which events occur in sequence.']","","['time']","['time']","","","","","","","","","","","","['time']",1,1,36.47924358908331,36.47924358908331,36.47924358908331
"http://purl.obolibrary.org/obo/CHEBI_33216","[""A bisphenol that is 4,4'-methanediyldiphenol in which the methylene hydrogens are replaced by two methyl groups.""]","[""4,4'-(propane-2,2-diyl)diphenol"", 'bisphenol A', 'Bisphenol A']","['bisphenol A']","","","","","","['2, 2-Bis(4-hydroxyphenyl)propane', '2,2-Bis(4-Hydroxyphenyl)propane', ""2,2-Bis(4'-hydroxyphenyl)propane"", '2,2-Bis(p-hydroxyphenyl)propane', '2,2-Di(4-hydroxyphenyl)propane', '2,2-Di(4-phenylol)propane', ""4,4'-(1-Methylethane-1,1-diyl)diphenol"", ""4,4'-(1-Methylethylidene)bisphenol"", ""4,4'-(Propane-2,2-diyl)diphenol"", ""4,4'-Bisphenol A"", ""4,4'-Isopropylidenediphenol"", 'bisphenol-A', 'BPA', ""Dianin's compound""]","['C15H16O2']","","","","","","['bisphenol a']",1,1,30.21386256406407,30.21386256406407,30.21386256406407
"http://purl.obolibrary.org/obo/CHEBI_10033","['A chromenone that has formula C19H16O4.', 'A racemate comprising equal amounts of (R)- and (S)-warfarin. Extensively used as both an anticoagulant drug and as a pesticide against rats and mice.']","['4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one', 'rac-4-hydroxy-3-(3-oxo-1-phenylbutyl)-2H-1-benzopyran-2-one']","['warfarin', 'Warfarin']","","","","","","['(+/-)-Warfarin', '(Phenyl-1 acetyl-2 ethyl) 3-hydroxy-4 coumarine', '(RS)-Warfarin', ""1-(4'-Hydroxy-3'-coumarinyl)-1-phenyl-3-butanone"", '2H-1-Benzopyran-2-one, 4-hydroxy-3-(3-oxo-1-phenylbutyl)-', ""3-(1'-Phenyl-2'-acetylethyl)-4-hydroxycoumarin"", '3-(Acetonylbenzyl)-4-hydroxycoumarin', '3-(Alpha-acetonylbenzyl)-4-hydroxycoumarin', '3-(alpha-Phenyl-beta-acetylaethyl)-4-hydroxycumarin', '3-(alpha-Phenyl-beta-acetylethyl)-4-hydroxycoumarin', '4-Hydroxy-3-(3-oxo-1-phenyl-butyl)-cumarin', '4-Hydroxy-3-(3-oxo-1-phenylbutyl)coumarin', 'C19H16O4', 'CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O', 'Coumafene', 'DL-3-(alpha-acetonylbenzyl)-4-hydroxycoumarin', 'DL-warfarin', 'InChI=1S/C19H16O4/c1-12(20)11-15(13-7-3-2-4-8-13)17-18(21)14-9-5-6-10-16(14)23-19(17)22/h2-10,15,21H,11H2,1H3', 'InChIKey=PJVWKTKQMONHTI-UHFFFAOYSA-N', 'rac-warfarin', 'racemic warfarin', 'Warf 10', 'warfarin', 'warfarina', 'warfarine', 'warfarinum', 'Zoocoumarin']","","","","","","","['warfarin']",1,1,19.38108271351165,19.38108271351165,19.38108271351165
"http://snomed.info/id/44033004","","","['Anthracene (substance)']","","","","","['Anthracene']","","","","","","","","['anthracene']",1,1,17.264783571574178,17.264783571574178,17.264783571574178
"http://purl.obolibrary.org/obo/GO_0016020","['A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.']","","['membrane', 'membrane']","","","","","","","","","","","","['membrane region', 'region of membrane', 'whole membrane']","['membrane']",1,1,16.905903724201544,16.905903724201544,16.905903724201544
"http://snomed.info/id/41834005","","","['Olive oil (substance)']","","","","['Sweet oil']","['Olive oil']","","","","","","","","['olive oil']",1,1,13.779203590664544,13.779203590664544,13.779203590664544
"http://purl.obolibrary.org/obo/ENVO_01000551","['A fuel oil which is 1) composed primarily of alkanes having between 5-15 carbon atoms with the general formula CnH2n+2, 2) is generally odorless or has only a slight odor, 3) produces only small amounts of soot relative to other fuel oils, 4) is highly refined.']","['liquid paraffin']","['paraffin oil']","","","['paraffin']","","","","","","","","","","['liquid paraffin']",1,2,10.73297937757756,10.725876596175647,13.205103049608635
"http://purl.obolibrary.org/obo/PATO_0001537","[""A solubility quality inhering in a substance by virtue of the bearer's disposition to dissolve in a liquid.""]","['soluble']","['soluble in']","","","","","","","","","","","","","['soluble']",1,1,11.14324005942033,11.14324005942033,11.14324005942033
"http://purl.obolibrary.org/obo/CHEBI_53550","['A polymer compose of repeating propane-1,2-diyl units.']","['poly(1-methylethylene)', 'poly(prop-1-ene)']","['poly(propylene)']","","","","","","['PP', '1-Propene homopolymer', 'Polipropene 25', 'poly(propene)', 'polypropene', 'polypropylene', 'Polypropylene']","['(C3H6)n']","","","","","","['polypropylene']",1,1,10.29282620229747,10.29282620229747,10.29282620229747
