"uri","iao_definition","oio_exact_synonym","oio_narrow_synonym","label","apollo_label","iao_preferred_label","iao_elucidation","rdf_comment","chebi_formula","oio_related_synonym","oio_broad_synonym","skos_alt_label","skos_pref_label","iao_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","skos_definition","obi_isa_term","iao_nl_axiom"
"http://purl.obolibrary.org/obo/CHMO_0000701","['A method where a sample mixture is first separated by liquid chromatography before being ionised and characterised by mass-to-charge ratio and relative abundance using two mass spectrometers in series.']","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","","['liquid chromatography-tandem mass spectrometry']","","","","","","","","","","['LC-MS-MS', 'LC-MS/MS', 'LC-MS2', 'LC-MSMS', 'LC/MS/MS', 'LCMSMS', 'liquid chromatography tandem mass spectrometry', 'liquid chromatography tandem mass spectroscopy', 'liquid chromatography-tandem mass spectroscopy']","['lc-ms/ms']",1,1,31.797407637365012,31.797407637365012,31.797407637365012,"","",""
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","['concentration of']","","['concentration of']","","","","","","","","","['concentration']",1,1,31.630830627069006,31.630830627069006,31.630830627069006,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_9823","['A suid native to much of Eurasia and North Africa.']","['pig', 'pigs', 'swine', 'wild boar', 'common wild pig', 'wild pig', 'wild swine']","","['Sus scrofa']","","","","","","['pig', 'pig-', 'Sus scrofus']","","","","","['pig']",1,3,13.062569107145986,13.053624209072277,18.14961773366767,"","",""
"http://snomed.info/id/228184002","","","","['Stocking (physical object)']","","","","","","","","['Stockings']","['Stocking']","","['stocking']",1,1,16.627617185731843,16.627617185731843,16.627617185731843,"","",""
"http://purl.obolibrary.org/obo/OBI_0200198","['Tandem mass spectrometry is a data transformation that uses two or more analyzers separated by a region in which ions can be induced to fragment by transfer of energy (frequently by collision with other molecules).']","","","['tandem mass spectrometry']","","['tandem mass spectrometry']","","","","","","","","","['lc-ms/ms']",1,1,15.898703818682506,15.898703818682506,15.898703818682506,"","",""
"http://purl.obolibrary.org/obo/DRON_00000028","['a role of a scattered molecular aggregate that is part of a drug product that is realized by (1) administration of the drug to an organism followed by (2) some change in the structure or functioning of some part of the organism']","","","['active ingredient']","","['active ingredient role']","","","","","","","","","['active ingredient']",1,4,9.793684550435554,9.713608848674498,14.723077852537932,"","",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000186","['The process of existence without reproduction of a pathogen of a particular biological taxon in or on some material entity or the process of reproduction of a pathogen in or on a material entity that is not an organism.']","","","['contamination']","['Contamination']","['biological contamination']","['The process of existence without reproduction of a pathogen of a particular biological taxon in or on some material entity or the process of reproduction of a pathogen in or on a material entity that is not an organism.']","['the preferred term is biological contamination to distinguish from things like radiological contamination, contamination of the Gulf of Mexico with oil, the contamination of air with pollution, etc.']","","","","","","","['contamination']",1,2,10.597364151593476,10.593747942701174,13.042433596040752,"","",""
"http://purl.obolibrary.org/obo/IDO_0000586","['A part of an extended organism that itself has as part a population of one or more infectious agents and that (1) exists as a result of processes initiated by members of the infectious agent population and is (2) clinically abnormal in virtue of the presence of this infectious agent population, or (3) has a disposition to bring clinical abnormality to immunocompetent organisms of the same Species as the host (the organism corresponding to the extended organism) through transmission of a member or offspring of a member of the infectious agent population.']","","","['infection']","","['infection']","","","","","","","","","['infection']",1,1,12.182019711779215,12.182019711779215,12.182019711779215,"","",""
"http://purl.obolibrary.org/obo/PATO_0000025","[""A single physical entity inhering in an bearer by virtue of the bearer's quantities or relative ratios of subparts.""]","['composed of', 'compositionality', 'content', 'structure, composition']","","['composition']","","['composition']","","['For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).']","","","","","","","['composition']",1,1,12.041038132266717,12.041038132266717,12.041038132266717,"","",""
"http://purl.obolibrary.org/obo/PATO_0001019","[""A physical quality which inheres in a bearer by virtue of some influence is exerted by the bearer's mass per unit size.""]","","","['mass density']","","","","","","['density']","","","","","['density']",1,1,9.524352533979787,9.524352533979787,9.524352533979787,"","",""
