"uri","oio_related_synonym","label","iao_definition","oio_exact_synonym","chebi_formula","skos_pref_label","rdf_comment","oio_broad_synonym","oio_narrow_synonym","apollo_label","iao_preferred_label","skos_alt_label","iao_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/NCBITaxon_51669","['Pediococcus halophilus', 'Pediococcus soyae', 'Sarcina hamaguchiae', 'Tetracocccus No. 1', 'Tetragenococcus halophila']","['Tetragenococcus halophilus']","","","","","","","","","","","","['tetragenococcus halophilus', 'tetragenococcus halophilus strain']",2,2,94.33248643529426,88.4107500624325,217.69280203799497
"http://snomed.info/id/417005000","","['Genus Tetragenococcus (organism)']","","","","['Tetragenococcus']","","","","","","['Genus Tetragenococcus', 'Tetragenococcus species']","","['t. muriaticus', 'Tetragenococcus']",2,3,67.74647597253005,45.98200936764446,127.8657757082751
"http://purl.obolibrary.org/obo/NCBITaxon_51668","","['Tetragenococcus']","","","","","","","","","","","","['tetragenococcus halophilus', 'tetragenococcus halophilus strain']",2,2,24.398241925173686,22.86663852848717,56.30426855264919
"http://purl.obolibrary.org/obo/CHEBI_25212","['metabolites', 'primary metabolites', 'secondary metabolites']","['metabolite']","[""Any intermediate or product resulting from metabolism. The term 'metabolite' subsumes the classes commonly known as primary and secondary metabolites.""]","['metabolite']","","","","","","","","","","['metabolite']",1,3,28.064959484894796,28.063233645127287,39.01881614423004
"http://purl.obolibrary.org/obo/GO_0043464","","['malolactic fermentation']","['The anaerobic enzymatic conversion of L-malate to L-lactate and carbon dioxide, yielding energy in the form of ATP.']","['malo-lactate fermentation', 'malolactate fermentation']","","","","['L-malate fermentation', 'malate fermentation']","","","","","","['fermentation']",1,6,16.246165325323584,16.236500215059866,27.793151690438673
"http://snomed.info/id/417513008","","['Family Enterococcaceae (organism)']","","","","['Enterococcaceae']","","","","","","['Family Enterococcaceae']","","['Tetragenococcus']",1,2,20.900934877499267,20.900934877499267,25.732069208119135
"http://purl.obolibrary.org/obo/CHEBI_18127","['1,5-Diaminopentane', '1,5-pentamethylenediamine', '1,5-Pentanediamine', 'DAPE', 'Pentamethylenediamine', 'PENTANE-1,5-DIAMINE']","['cadaverine']","['An alkane-alpha,omega-diamine comprising a straight-chain pentane core with amino substitutents at positions 1 and 5. A colourless syrupy liquid diamine with a distinctive unpleasant odour, it is a homologue of putresceine and is formed by the bacterial decarboxylation of lysine that occurs during protein hydrolysis during putrefaction of animal tissue. It is also found in plants such as soyabean.']","['Cadaverine', 'pentane-1,5-diamine']","['C5H14N2']","","","","","","","","","['cadaverine']",1,2,11.845371547614647,11.83625941994481,14.572144659766192
"http://purl.obolibrary.org/obo/GO_0042401","","['cellular biogenic amine biosynthetic process']","['The chemical reactions and pathways occurring at the level of individual cells resulting in the formation of any of a group of naturally occurring, biologically active amines, such as norepinephrine, histamine, and serotonin, many of which act as neurotransmitters.']","['biogenic amine anabolism', 'biogenic amine biosynthesis', 'biogenic amine formation', 'biogenic amine synthesis']","","","","","","","","","","['biogenic amine']",1,1,11.494606115075147,11.494606115075147,11.494606115075147
"http://snomed.info/id/386945006","","['Amino acid derivative (substance)']","","","","['Amino acid derivative']","","","","","","","","['amino acid']",1,1,9.0255217867522,9.0255217867522,9.0255217867522
"http://purl.obolibrary.org/obo/FOODON_03309823","","['shrimp paste']","['definition: Shrimp paste or shrimp sauce is a fermented condiment commonly used in Southeast Asian, Northeastern South Asian and Southern Chinese cuisines.']","['shrimp sauce']","","","[""SIREN DB annotation:\n\n* has quality 'semisolid' (http://purl.obolibrary.org/obo/FOODON_03430144)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'whole animal or most parts used' (http://purl.obolibrary.org/obo/FOODON_03420173)\n\n* formed as a result of 'fermentation/modification process, multiple component' (http://purl.obolibrary.org/obo/FOODON_03460128)\n\n* formed as a result of 'water removal process' (http://purl.obolibrary.org/obo/FOODON_03460138)\n\n* formed as a result of 'salted' (http://purl.obolibrary.org/obo/FOODON_03460173)\n\n* formed as a result of 'preservation by fermentation' (http://purl.obolibrary.org/obo/FOODON_03470104)""]","","['kapi\n\nngapi\n\nterasi\n\nbelacan\n\nbelachan\n\nblachang\n\nmắm ruốc\n\nmắm tép\n\nmắm tôm\n\nbagoong alamang\n\nbagoong aramang\n\nhaa1 zoeng3/haa1 gou1\n\nhom ha/hae ko\n\nsidol']","","","","","['shrimp sauce']",1,1,8.588952799160166,8.588952799160166,8.588952799160166
"http://purl.obolibrary.org/obo/FOODON_03460173","","['food (salted)']","","['salted']","","","['LanguaL curation note: Used when it is necessary to distinguish one product from another (e.g., salted vs. unsalted peanuts), or for salt-fermented products (e.g. soy sauce). It can also be used for other products known to contain at least 4% added and naturally present salt (sodium chloride).\n\nWhen salting is used as preservation method, index *preservation by SALTING [J0103]* or narrower term.']","","","","","","","['salt food']",1,1,7.570433221419246,7.570433221419246,7.570433221419246
