"uri","iao_definition","rdf_comment","label","oio_exact_synonym","skos_alt_label","skos_pref_label","iao_preferred_label","iao_alternative_term","oio_broad_synonym","oio_related_synonym","obo_homology_notes","apollo_label","iao_elucidation","chebi_formula","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym","obo_external_ontology_notes"
"http://purl.obolibrary.org/obo/CHEBI_51760","","","['Alexa Fluor 546']","[""sodium 6-(2-carboxy-3,4,6-trichloro-5-{[2-({6-[(2,5-dioxopyrrolidin-1-yl)oxy]-6-oxohexyl}amino)-2-oxoethyl]thio}phenyl)-2,2,4,8,10,10-hexamethyl-3,4,5a,8,9,10,11,12a-octahydro-2H-pyrano[3,2-g:5,6-g']diquinolin-1-ium-12,14-disulfonate""]","","","['Alexa Fluor 546']","","","['Alexa Fluor 546 carboxylic acid, succinimidyl ester']","","","","['C44H46Cl3N4NaO14S3']","","['Alexa Fluor 546 )', 'Alexa Fluor 594']",2,2,22.948605398789038,20.436596029053458,50.32080205791213,"",""
"http://purl.obolibrary.org/obo/CHMO_0000064","['A method for determining the distance between molecules using an energy transfer between two fluorescent chromophores (a donor and an acceptor) in close proximity (typically <10 nm) via a nonradiative, long-range dipole-dipole coupling mechanism. Energy transfer usually occurs between a cyan fluorescent protein (donor) and a yellow fluorescent protein (acceptor).']","","['fluorescence resonance energy transfer']","['fluorescent resonance energy transfer', 'fluorescence resonance energy transfer assay', 'fluorescence resonance energy transfer microscopy']","","","","","","['FRET']","","","","","","['fluorescence resonance energy transfer']",1,1,42.92644158335089,42.92644158335089,42.92644158335089,"",""
"http://purl.obolibrary.org/obo/CHMO_0000062","['A method for determining the distance between molecules using an energy transfer between two chromophores (a donor and an acceptor) in close proximity (typically <10 nm) via a nonradiative, long-range dipole-dipole coupling mechanism.']","","['Forster resonance energy transfer']","['Förster resonance energy transfer', 'Forster resonant energy transfer']","","","","","","['FRET']","","","","","","['fluorescence resonance energy transfer', 'fret']",2,2,17.43355252156136,12.598776520923984,31.021826657433326,"",""
"http://snomed.info/id/50136005","","","['Salmonella Typhimurium (organism)']","","['Salmonella 1,4,[5],12:i:1,2', 'Salmonella enterica subsp. enterica ser. Typhimurium', 'Salmonella ser. Typhimurium', 'Salmonella serotype Typhimurium']","['Salmonella Typhimurium']","","","","","","","","","","['salmonella typhimurium']",1,2,22.286685128937343,22.28667415627175,27.438114379532493,"",""
"http://purl.obolibrary.org/obo/CHMO_0001751","['A phosphate buffer, prepared from sodium phosphate, potassium phosphate and sodium chloride, where the pH is maintained by a phosphate–phosphoric acid equilibrium.']","","['phosphate-buffered saline solution']","['PBS', 'PBS buffer', 'PBS solution', 'phosphate buffered saline', 'phosphate-buffered saline (PBS) solution', 'phosphate-buffered salt solution']","","","","","","","","","","","","['PBS']",1,1,25.582572396484284,25.582572396484284,25.582572396484284,"",""
"http://purl.obolibrary.org/obo/PATO_0000018","[""A luminous flux quality inhering in a bearer by virtue of the bearer's emitting longer wavelength light following the absorption of shorter wavelength radiation; fluorescence is common with aromatic compounds with several rings joined together.""]","","['fluorescence']","","","","['fluorescence']","","","","","","","","","['fluorescence']",1,2,18.825973408171365,18.820607999380186,23.17088639419156,"",""
"http://purl.obolibrary.org/obo/OBI_0002744","['A molecular reagent intended to associate with some molecular target to serve as a proxy for the presence, abundance, or location of this target in a detection of molecular label assay']","","['molecular label']","","","","['molecular label']","['molecular tracer']","","","","","","","","['Alexa Fluor 546 )', 'label', 'Alexa Fluor 594']",3,3,4.994480339194068,3.3545012564508894,13.99218665634128,"",""
"http://purl.obolibrary.org/obo/CHMO_0000059","['The detection of chemiluminescence caused the emission of light by tiny bubbles in a liquid excited by sound.']","","['sonochemiluminescence detection']","['SCL detection', 'sono chemiluminescence detection', 'sono-chemiluminescence detection', 'sonodynamic chemiluminescence detection']","","","","","","","","","","","","['detection']",1,4,6.9589319631519,6.952615746404675,10.538194867406622,"",""
"http://purl.obolibrary.org/obo/FOODON_03401328","['Fibre supplements (or fiber supplements) are considered to be a form of a subgroup of functional dietary fibre, and in the United States are defined by the Institute of Medicine (IOM). According to the IOM, functional fibre ""consists of isolated, non-digestible carbohydrates that have beneficial physiological effects in humans"".\n\nFibre supplements are widely available, and can be found in forms such as powders, tablets and capsules. Consumption of fibre supplements may be for: improving dietary intake, lowering blood cholesterol, alleviating irritable bowel syndrome, reducing the risk of colon cancer, and increasing feelings of satiety. [http://en.wikipedia.org/wiki/Fibre_supplements]']","","['dietary supplement, fibre']","['fibre', 'fiber', 'fiber supplement']","","","","","","","","","","","['fibre supplement']","['fiber']",1,1,10.475843328119813,10.475843328119813,10.475843328119813,"",""
"http://purl.obolibrary.org/obo/CHMO_0002795","['A sensor that recognises the analyte under study by interaction with a given biological system.']","","['biosensor']","","","","","","","","","","","","","['biosensor']",1,5,6.264213921568635,5.755391427431197,9.327513083415344,"",""
