"uri","iao_preferred_label","iao_definition","rdf_comment","label","chebi_formula","oio_exact_synonym","oio_related_synonym","skos_alt_label","skos_pref_label","apollo_label","iao_elucidation","iao_alternative_term","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_narrow_synonym","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHMO_0000497","","['Any method where a sample mixture is first separated by gas chromatography then ionised and characterised according to mass-to-charge ratio and relative abundance.']","","['gas chromatography-mass spectrometry']","","['gas chromatography mass spectrometry', 'gas chromatography mass spectroscopy', 'gas chromatography with mass spectrometric detection', 'gas chromatography-mass spectroscopy', 'gas chromatography/mass spectrometry', 'GC MS', 'GC-MS', 'GC/MS', 'GCMS']","","","","","","","","['gas chromatography/mass spectrometry']",1,1,46.89983452686272,46.89983452686272,46.89983452686272,"",""
"http://snomed.info/id/415187007","","","","['Pseudomonas aeruginosa group (organism)']","","","","","['Pseudomonas aeruginosa group']","","","","","['pseudomonas aeruginosa']",1,1,25.505931754050753,25.505931754050753,25.505931754050753,"",""
"http://snomed.info/id/190905008","","","","['Cystic fibrosis (disorder)']","","","","['CF', 'CF - Cystic fibrosis', 'Fibrocystic disease', 'Mucoviscidosis']","['Cystic fibrosis']","","","","","['cystic fibrosis', 'cf']",2,2,12.757425968940767,8.585270054620874,21.139414529607787,"",""
"http://purl.obolibrary.org/obo/UBERON_0008944","","['Albumen is the clear liquid contained within an egg and consists of water and proteins, among which are ovomucin and ovomucoid. It protects the egg yolk and provides additional nutrition for the growth of the embryo.']","","['albumen']","","['egg white']","","","","","","['egg white, albumen']","['egg white']","['egg white']",1,1,20.905405644008663,20.905405644008663,20.905405644008663,"",""
"http://purl.obolibrary.org/obo/CHEBI_91110","","['An aromatic ketone that is acetophenone in which one of the ortho hydrogens of the phenyl group has been replaced by an amino group.']","","['o-aminoacetophenone']","['C8H9NO']","['1-(2-aminophenyl)ethanone']","['1-acetyl-2-aminobenzene', '2-acetylaniline', '2-acetylphenylamine', '2-aminoacetophenone', ""2'-aminoacetophenone"", '5 kaal', 'o-acetylaniline', 'o-aminoacetylbenzene', 'o-aminophenyl methyl ketone', 'ortho-aminoacetophenone']","","","","","","","['2-aminoacetophenone']",1,10,8.568637117679394,8.226838229261219,16.41470029019022,"",""
"http://purl.obolibrary.org/obo/FOODON_00003202","","['A liquid prepared for consumption']","[""SIREN DB annotation:\n\n* has quality 'liquid' (http://purl.obolibrary.org/obo/FOODON_03430130)""]","['beverage']","","['liquid beverage']","","","","","","","","['beverage']",1,1,10.705173951663665,10.705173951663665,10.705173951663665,"",""
"http://purl.obolibrary.org/obo/CHEBI_64857","","['The role played by a substance in enhancing the appearance or odour of the human body; a name given to the substance itself or to a component of it.']","","['cosmetic']","","","['cosmetic component', 'cosmetics']","","","","","","","['cosmetic']",1,2,8.362165203903846,8.349691509138193,10.27967605462897,"",""
"http://purl.obolibrary.org/obo/FOODON_03302052","","","[""SIREN DB annotation:\n\n* has quality 'whole, shape achieved by forming, thickness <0.3 cm.' (http://purl.obolibrary.org/obo/FOODON_03430153)\n\n* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)\n\n* derives from 'seed (anatomical part)' (http://purl.obolibrary.org/obo/FOODON_03420155)\n\n* formed as a result of 'salted' (http://purl.obolibrary.org/obo/FOODON_03460173)\n\n* has substance added  'fat or oil added' (http://purl.obolibrary.org/obo/FOODON_03460221)""]","['corn chip']","","","","","","","","","","['corn chip']",1,3,6.97474850121922,6.811860612810503,9.471137225753216,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000186","['biological contamination']","['The process of existence without reproduction of a pathogen of a particular biological taxon in or on some material entity or the process of reproduction of a pathogen in or on a material entity that is not an organism.']","['the preferred term is biological contamination to distinguish from things like radiological contamination, contamination of the Gulf of Mexico with oil, the contamination of air with pollution, etc.']","['contamination']","","","","","","['Contamination']","['The process of existence without reproduction of a pathogen of a particular biological taxon in or on some material entity or the process of reproduction of a pathogen in or on a material entity that is not an organism.']","","","['contamination']",1,1,9.260030705183159,9.260030705183159,9.260030705183159,"",""
"http://purl.obolibrary.org/obo/NBO_0000134","","['""A feeding behavior associated with the intake of food."" [NBO:GVG]']","","['food consumption']","","","","","","","","","","['consumption']",1,2,7.1315615798056475,7.101348046700806,8.742784974913532,"",""
"http://purl.obolibrary.org/obo/CHMO_0000470","","['Spectrometry where the sample is converted into gaseous ions which are characterised by their mass-to-charge ratio and relative abundance.']","","['mass spectrometry']","","['MS', 'mass spectroscopy']","","","","","","","","['gas chromatography/mass spectrometry']",1,1,7.126208976041986,7.126208976041986,7.126208976041986,"",""
"http://snomed.info/id/115543007","","","","['Volatile (qualifier value)']","","","","","['Volatile']","","","","","['volatile']",1,1,7.085782786786261,7.085782786786261,7.085782786786261,"",""
"http://purl.obolibrary.org/obo/FOODON_00003194","","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","","['vegetarian food product']","","['vegetarian food']","","","","","","","","['food']",1,1,5.920730878824875,5.920730878824875,5.920730878824875,"",""
