"uri","iao_definition","oio_exact_synonym","oio_related_synonym","obo_external_definition","obo_taxon_notes","obo_homology_notes","label","chebi_formula","skos_alt_label","skos_pref_label","iao_alternative_term","oio_synonym","rdf_comment","iao_preferred_label","apollo_label","oio_narrow_synonym","oio_broad_synonym","obo_external_ontology_notes","obi_isa_term","iedb_alternative_term","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","skos_definition"
"http://purl.obolibrary.org/obo/CHEBI_3020","['A class of quaternary ammonium chloride salts in which the nitrogen is substituted by a benzyl group, two methyl groups and an even-numbered alkyl chain.']","['Benzalkonium chloride']","['ADBAC', 'Alkyl dimethylbenzyl ammonium chloride', 'Alkylbenzyldimethylammonium chloride', 'Alkyldimethyl(phenylmethyl)quaternary ammonium chlorides', 'Alkyldimethylbenzylammonium chloride', 'benzalkonii chloridum', 'benzalkonium chloride', 'benzalkonium chlorides', 'chlorure de benzalkonium', 'cloruro de benzalconio']","","","","['benzalkonium chloride']","['C9H13ClNR']","","","","","","","","","","","","","['benzalkonium chloride', 'benzalkonium chloride residue']",2,3,73.58675286429826,52.6711622349392,146.46682711882355,""
"http://purl.obolibrary.org/obo/FOODON_03302116","","['cow milk']","","","","","['cow milk (liquid)']","","","","['milk']","","[""SIREN DB annotation:\n\n* has quality 'liquid, low viscosity, with no visible particles' (http://purl.obolibrary.org/obo/FOODON_03430123)\n\n* derives from 'milk (mammary secretion)' (http://purl.obolibrary.org/obo/UBERON_0001913)""]","","","","['milk']","","","","['milk']",1,4,40.836664731327126,40.51754127983731,61.413108552118324,""
"http://purl.obolibrary.org/obo/CHEBI_35273","['Derivatives of ammonium compounds, (NH4(+))Y(-), in which all four of the hydrogens bonded to nitrogen have been replaced with univalent (usually organyl) groups.']","['quaternary ammonium compounds', 'quaternary ammonium salt']","['quaternary ammonium compound', 'quaternary ammonium salts']","","","","['quaternary ammonium salt']","","","","","","","","","","","","","","['quaternary ammonium compound', 'benzalkonium chloride', 'benzalkonium chloride residue']",3,4,25.531238622768594,11.610626737344127,52.79525788008319,""
"http://purl.obolibrary.org/obo/FOODON_00001257","","","","","","","['milk or milk based food product']","","","","['Milk products']","","","","","","","","","","['ice cream', 'milk/milk product', 'milk product']",3,3,22.445395268727456,10.277028633191449,42.8672079438477,""
"http://purl.obolibrary.org/obo/FOBI_0018","","","","","","","['Unfermented milk products']","","","","","","","","","","","","","","['milk']",1,4,16.584839393608313,16.45523499950528,24.941472294571874,""
"http://purl.obolibrary.org/obo/FOODON_00001045","['A frozen dessert usually made from dairy products, such as milk and cream, and often combined with fruits or other ingredients and flavours. Most varieties contain sugar, although some are made with other sweeteners. In some cases, artificial flavourings  and colourings are used in addition to (or in replacement of) the natural ingredients. This mixture is stirred slowly while cooling to prevent large ice crystals from forming; the result is a smoothly textured ice cream.']","['ice-cream', 'ice cream']","","","","","['ice cream food product']","","","","","","","","","","","","","","['ice cream']",1,1,22.38488537620391,22.38488537620391,22.38488537620391,""
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration']","","","","","['concentration of']","","","","","","","['concentration of']","","","","","","","['concentration']",1,1,22.06881036744121,22.06881036744121,22.06881036744121,""
"http://purl.obolibrary.org/obo/CHEBI_27780","['A surfactant (or a mixture containing one or more surfactants) having cleaning properties in dilute solutions.']","['detergent']","['Detergents']","","","","['detergent']","","","","","","","","","","","","","","['detergent']",1,1,20.61569947157456,20.61569947157456,20.61569947157456,""
"http://purl.obolibrary.org/obo/CHEBI_48219","['An antimicrobial agent that is applied to non-living objects to destroy harmful microorganisms or to inhibit their activity.']","","['desinfectant', 'Desinfektionsmittel', 'disinfectants', 'disinfecting agent']","","","","['disinfectant']","","","","","","","","","","","","","","['disinfectant', 'disinfection']",2,2,16.058293676374536,8.1861956474026,20.156778075696366,""
"http://purl.obolibrary.org/obo/CHEBI_36094","","","['organic chloride salts']","","","","['organic chloride salt']","","","","","","","","","","","","","","['benzalkonium chloride', 'benzalkonium chloride residue']",2,3,9.57089698390778,6.850557310266557,19.04988138964621,""
"http://purl.obolibrary.org/obo/GAZ_00002646","['A country in Central Europe. It is bordered to the north by the North Sea, Denmark, and the Baltic Sea; to the east by Poland and the Czech Republic; to the south by Austria and Switzerland; and to the west by France, Luxembourg, Belgium, and the Netherlands. Germany comprises 16 states (Lander, Bundeslander), which are further subdivided into 439 districts (Kreise/Landkreise) and cities (kreisfreie Stadte).']","['Bundesrepublik Deutschland', 'Federal Republic of Germany']","","","","","['Germany']","","","","['german federal republic']","['federal republic of germany', 'germany']","['begin_date: 1990-10-03.', 'LanguaL curation note: US FDA 1995 Code:  DE']","","","","","","","","['Germany']",1,1,17.455984252045177,17.455984252045177,17.455984252045177,""
"http://purl.obolibrary.org/obo/CHEBI_33708","['When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.']","['amino acid residue', 'amino-acid residue']","['amino acid residue', 'amino-acid residues']","","","","['amino-acid residue']","","","","","","","","","['protein residue']","","","","","['residue']",1,4,15.26004151720718,10.249881667487767,15.53591544818243,""
"http://purl.obolibrary.org/obo/FOODON_03430130","[""A state of matter between a solid and a gas, in which a substance has the capacity to flow and conforms to the shape of the container. Liquids range from water to honey, corresponding to a range in viscosity (or apparent viscosity) from 1 to 500 centipoise (viscosity is a measure of a liquid's resistance to flow). Products that are pourable but have a higher viscosity are *SEMILIQUID*.""]","","","","","","['food (liquid)']","","","","","['fluid']","[""SIREN DB annotation:\n\n* has quality 'liquid' (http://purl.obolibrary.org/obo/FOODON_03430130)""]","","","","","","","","['milk']",1,4,9.94494677987643,9.867230694046285,14.955925028545845,""
"http://purl.obolibrary.org/obo/UBERON_0004908","['The region of the digestive tract extending from the mouth cavity through pharynx esophagus stomach and duodenum.']","['upper gastrointestinal tract', 'upper GI tract']","","","","","['upper digestive tract']","","","","","","","","","","","['WP: small intestine, large intestine, anus. Anal canal not part of LGIT according to FMA, but anus is considered part of LGIT according to WP. Duodenum overlaps both U/L. In Galen, entire GI tract excludes esophagus']","","","['gastrointestinal tract']",1,1,14.147083367296824,14.147083367296824,14.147083367296824,""
"http://purl.obolibrary.org/obo/FOODON_00003194","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","['vegetarian food']","","","","","['vegetarian food product']","","","","","","","","","","","","","","['food']",1,2,11.02046277215011,11.009631127199885,13.554445855240433,""
"http://purl.obolibrary.org/obo/FOODON_03305236","","['avocado']","","","","","['avocado (whole, raw)']","","","","['avocado']","","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'fruit, peel present, core, pit or seed present' (http://purl.obolibrary.org/obo/FOODON_03420140)""]","","","","","","","","['avocado']",1,1,11.98321117941724,11.98321117941724,11.98321117941724,""
"http://purl.obolibrary.org/obo/FOODON_00001771","","","","","","","['cow milk based food product']","","","","","","","","","","","","","","['milk']",1,4,7.682954558215557,7.622915106110736,11.55417871143441,""
"http://purl.obolibrary.org/obo/FOODON_03305237","","['tropical fruit']","","","","","['tropical fruit (whole, raw)']","","","","['Tropical fruits']","","[""SIREN DB annotation:\n\n* has quality 'whole, natural shape' (http://purl.obolibrary.org/obo/FOODON_03430150)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* derives from 'fruit, peel present, core, pit or seed present' (http://purl.obolibrary.org/obo/FOODON_03420140)""]","","","","","","","","['tropical fruit']",1,1,10.645558814296098,10.645558814296098,10.645558814296098,""
"http://snomed.info/id/734808009","","","","","","","['Cationic surfactant (disposition)']","","","['Cationic surfactant']","","","","","","","","","","","['cationic surfactant']",1,1,10.434222624261341,10.434222624261341,10.434222624261341,""
