"uri","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","label","skos_alt_label","skos_definition","skos_pref_label","iao_preferred_label","rdf_comment","apollo_label","iao_elucidation","oio_broad_synonym","iao_alternative_term","oio_synonym","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2"
"http://purl.obolibrary.org/obo/IAO_0000027","","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","","","['data item', 'data item']","","","","['data item', 'data item']","","","","","['data']","","","['datum', 'Maximum']",2,3,12.032784149748213,7.951545804373676,22.11148634734413
"http://purl.obolibrary.org/obo/HANCESTRO_0005","","['Includes individuals who either self-report or have been described by authors as\n\nEuropean, Caucasian, White or one of the sub-populations from this region (e.g Dutch). This category also includes individuals who genetically cluster with reference populations from this region, for example 1000 Genomes and/or HapMap CEU, FIN, GBR, IBS and TSI populations.']","['white', 'Caucasian']","","['European']","","","","","","","","","","","","['european']",1,2,17.702483927692285,17.701090813281915,21.792599064883053
"http://purl.obolibrary.org/obo/CHEBI_141213","['C15H12F3NO4S']","['A member of the class of isoxazoles that is 1,2-oxazole substituted by a 2-(methanesulfonyl)-4-(trifluoromethyl)benzoyl group and a cyclopropyl group at positions 4 and 5, respectively. It is a 4-hydroxyphenylpyruvate dioxygenase inhibitor which is used as a herbicide for weed control in maize and sugarcane.']","['(5-cyclopropyl-1,2-oxazol-4-yl)[2-(methylsulfonyl)-4-(trifluoromethyl)phenyl]methanone']","['(5-cyclopropyl-1,2-oxazol-4-yl)(alpha,alpha,alpha-trifluoro-2-mesyl-p-tolyl)methanone', '(5-cyclopropyl-4-isoxazolyl)[2-(methylsulfonyl)-4-(trifluoromethyl)phenyl]methanone', '(5-cyclopropylisoxazol-4-yl)(alpha,alpha,alpha-trifluoro-2-mesyl-p-tolyl)methanone', '5-cyclopropyl-1,2-oxazol-4-yl alpha,alpha,alpha-trifluoro-2-mesyl-p-tolyl ketone', '5-cyclopropyl-4-[2-methanesulfonyl-4-(trifluoromethyl)benzoyl]-1,2-oxazole', 'Balance', 'EXP 31130A', 'Merlin', 'RP 201772', 'RPA 201772']","['isoxaflutole']","","","","","","","","","","","","['Isoxaflutole', 'isoxaflutole residue', 'isoxaflutole']",3,3,7.352335311289004,3.680615785866283,15.352464986286778
"http://purl.obolibrary.org/obo/IAO_0000615","","['A part of a document used to summarize the findings discussed in the document. The conclusion section is typically found near the end of a document.']","","","['conclusion section']","","","","['conclusion section']","","","","","['concluding remarks', 'conclusion', 'conclusions', 'findings', 'summary']","","","['conclusion']",1,1,10.88418729437613,10.88418729437613,10.88418729437613
"http://purl.obolibrary.org/obo/CHEBI_35790","","['A compound based on a five-membered heterocyclic aromatic skeleton containing one N and one O atom.', 'An azole based on a five-membered heterocyclic aromatic skeleton containing one N and one O atom.']","['oxazole']","['oxazoles']","['oxazole']","","","","","","","","","","","","['oxazole']",1,1,9.389886629995127,9.389886629995127,9.389886629995127
"http://purl.obolibrary.org/obo/IAO_0020000","","['An identifier is an information content entity that is the outcome of a dubbing process and is used to refer to one instance of entity shared by a group of people to refer to that individual entity.']","","","['identifier']","","","","['identifier']","","['name']","","","","","","['identify']",1,1,7.8825640551457115,7.8825640551457115,7.8825640551457115
"http://purl.obolibrary.org/obo/CHEBI_33708","","['When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.']","['amino acid residue', 'amino-acid residue']","['amino acid residue', 'amino-acid residues']","['amino-acid residue']","","","","","","","","","","","['protein residue']","['residue']",1,1,7.743946275562061,7.743946275562061,7.743946275562061
"http://purl.obolibrary.org/obo/NCBITaxon_3193","","","['higher plants', 'land plants', 'plants']","['land plants']","['Embryophyta']","","","","","","","","","","","","['plant']",1,1,7.398158462238202,7.398158462238202,7.398158462238202
"http://purl.obolibrary.org/obo/PATO_0000057","","[""A quality of a single process inhering in a bearer by virtue of the bearer's occurrence.""]","['incidence']","","['occurrence']","","","","","","","","['temporal']","","","","['occurrence']",1,1,6.255722776376383,6.255722776376383,6.255722776376383
"http://purl.obolibrary.org/obo/HANCESTRO_0004","","['population category defined using ancestry informative markers (AIMs) based on genetic/genomic data']","['ancestral group']","","['ancestry category']","","","","","","","","","","","","['european']",1,2,4.2000053081564035,4.199674784601498,5.17040614892765
"http://purl.obolibrary.org/obo/NCBITaxon_192043","","","","['Phacelophrynium maximum']","['Phrynium maximum']","","","","","","","","","","","","['maximum']",1,1,4.829036935979134,4.829036935979134,4.829036935979134
"http://purl.obolibrary.org/obo/CHEBI_132272","","['A compound used with herbicides that reduces the effect of the herbicide on crop plants or otherwise improves the selectivity of the herbicide for weed species over the crop plant.']","","['herbicide safeners']","['herbicide safener']","","","","","","","","","","","","['herbicide']",1,1,3.9545844306827225,3.9545844306827225,3.9545844306827225
