"uri","iao_definition","iao_alternative_term","oio_exact_synonym","rdf_comment","label","skos_alt_label","skos_pref_label","iao_elucidation","iao_preferred_label","chebi_formula","oio_related_synonym","oio_broad_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obo_external_ontology_notes","skos_definition","iao_nl_axiom","oio_synonym","apollo_label"
"http://purl.obolibrary.org/obo/GAZ_00002950","['A country in Southeastern Europe, borders five other countries; Romania to the north (mostly along the Danube), Serbia and the Republic of Macedonia to the west, and Greece and Turkey to the south. The Black Sea defines the extent of the country to the east. Since 1999, it has consisted of twenty-eight provinces. The provinces subdivide into 264 municipalities.']","['bulgaria']","['Kingdom of Bulgaria', ""People's Republic of Bulgaria"", 'Republic of Bulgaria', 'Republika Balgariya']","['LanguaL curation note: US FDA 1995 Code:  BG']","['Bulgaria']","","","","","","","","['bulgaria', 'Bulgaria']",2,2,23.06356568244752,18.961281042333002,46.68815045026229,"","","","",""
"http://purl.obolibrary.org/obo/IAO_0000088","['A document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record).']","","","","['report']","","","","['report']","","","","['report', 'article']",2,2,30.057840497066568,15.116598498734493,37.22143158099024,"","","","",""
"http://purl.obolibrary.org/obo/GAZ_00438416","['An area of Dundee.']","","","","['Law']","","","","","","","","['Law', 'law']",2,5,6.497523415191326,4.543070401879056,14.725514032089864,"","","","",""
"http://purl.obolibrary.org/obo/PATO_0002259","[""A spatial quality inhering in a bearer by virtue of the bearer's being located near in space in relation to another entity.""]","","['approaches', 'close to', 'near to', 'vicinity of']","","['adjacent to']","","","","","","","","['approach', 'effectiveness of approach']",2,3,5.941285023171499,3.9996118173772324,11.122033912697672,"","","","",""
"http://purl.obolibrary.org/obo/HANCESTRO_0005","['Includes individuals who either self-report or have been described by authors as\n\nEuropean, Caucasian, White or one of the sub-populations from this region (e.g Dutch). This category also includes individuals who genetically cluster with reference populations from this region, for example 1000 Genomes and/or HapMap CEU, FIN, GBR, IBS and TSI populations.']","","['white', 'Caucasian']","","['European']","","","","","","","","['european']",1,1,11.048415104658742,11.048415104658742,11.048415104658742,"","","","",""
"http://purl.obolibrary.org/obo/HP_0025304","['Applies to a sign, symptom, or other manifestation that recurs with a fixed time interval, i.e., the symptom-free periods are always of the same length.']","","['Cyclic', 'Cyclical']","","['Periodic']","","","","","","","","['periodic']",1,1,9.631896207655936,9.631896207655936,9.631896207655936,"","","","",""
"http://purl.obolibrary.org/obo/FOODON_03520357","","","","['LanguaL curation note: US FDA 1995 Code:  QR02']","['europe, eastern']","","","","","","","","['bulgaria', 'Bulgaria']",2,2,4.694479606401934,3.8594789890719854,9.50315199163612,"","","","",""
"http://purl.obolibrary.org/obo/GAZ_00000464","","['europe']","","['LanguaL curation note: US FDA 1995 Code:  QR']","['Europe']","","","","","","","","['bulgaria', 'Bulgaria']",2,2,3.7056180444418976,3.04650487021948,7.501374902397584,"","","","",""
"http://purl.obolibrary.org/obo/PATO_0001309","[""A process quality inhering in a bearer by virtue of the bearer's magnitude of the temporal extent between the starting and ending point.""]","","['period']","","['duration']","","","","","","['time']","","['period']",1,1,6.636548998564568,6.636548998564568,6.636548998564568,"","","","",""
"http://purl.obolibrary.org/obo/IAO_0000310","['A collection of information content entities intended to be understood together as a whole']","","","","['document']","","","","['document']","","","","['report']",1,1,5.94567238947539,5.94567238947539,5.94567238947539,"","","","",""
"http://snomed.info/id/420341009","","","","","['Constant - dosing instruction fragment (qualifier value)']","['Constant - dosing instruction fragment']","['Constant']","","","","","","['constant']",1,1,5.307681830322285,5.307681830322285,5.307681830322285,"","","","",""
"http://purl.obolibrary.org/obo/NCIT_C25464","['A collective generic term that refers here to a wide variety of dependencies, areas of special sovereignty, uninhabited islands, and other entities in addition to the traditional countries or independent states.']","","","['Damion\'s note: countries are considered material entities, but at moment ENVO ""national geopolitical entity"" is a site. It will need to be moved to a material entity in order for countries to be placed under it. For now, we use NCIT\'s ""Country"" term.']","['Country']","","","","","","","","['bulgaria', 'Bulgaria']",2,2,2.3671165073770615,1.9460807567357516,4.7918129031465355,"","","","",""
"http://purl.obolibrary.org/obo/PATO_0001626","['A structural quality inhering in a bearer by virtue of whether the bearer has enough functionality.']","","","['This term and children should probably be obsoleted.']","['sufficiency']","","","","","","['adequacy']","","['adequacy']",1,1,3.592119081524723,3.592119081524723,3.592119081524723,"","","","",""
