"uri","iao_definition","oio_exact_synonym","oio_narrow_synonym","rdf_comment","label","oio_related_synonym","iao_preferred_label","iao_alternative_term","skos_pref_label","skos_alt_label","oio_broad_synonym","apollo_label","iao_elucidation","oio_synonym","obi_isa_term","iedb_alternative_term","skos_definition","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","chebi_formula","iao_nl_axiom"
"http://purl.obolibrary.org/obo/NCBITaxon_381124","","['corn', 'Indian corn', 'maize', 'Zea mays subsp. sacharata', 'Zea mays var. sacharata']","","","['Zea mays subsp. mays']","['Zea mays subsp. amylacea', 'Zea mays subsp. ceratina', 'Zea mays subsp. everta', 'Zea mays subsp. indurata', 'Zea mays subsp. ramosa', 'Zea mays subsp. saccharata', 'Zea mays subsp. saccharata (Sturtev.) Zhuk., 1950', 'Zea mays subsp. tunicata', 'Zea mays var. mays', 'Zea mays var. saccharata', 'Zea ramosa', 'Zea saccharata']","","","","","","","","","","","","['maize ( Zea mays )']",1,1,47.2171927385212,47.2171927385212,47.2171927385212,"",""
"http://purl.obolibrary.org/obo/NCBITaxon_4577","","['maize']","","['FoodOn Note: the NCBITaxon exact synonym ""maize"" is more appropriate for ""Zea mays subsp. mays""']","['Zea mays']","['Zea mays var. japonica']","","","","","","","","","","","","['maize', 'maize ( Zea mays )']",2,15,13.16863484446472,9.946222625226481,44.8245098338831,"",""
"http://purl.obolibrary.org/obo/GAZ_00418948","['A quartier of Tours.']","","","","['Europe']","","","","","","","","","","","","","['Europe']",1,1,41.6575140061916,41.6575140061916,41.6575140061916,"",""
"http://snomed.info/id/276339004","","","","","['Environment (environment)']","","","","['Environment']","['Environments']","","","","","","","","['environment']",1,1,39.95515803607761,39.95515803607761,39.95515803607761,"",""
"http://purl.obolibrary.org/obo/PATO_0001046","[""A quality inhering in a bearer by virtue of the bearer's disposition to resist to a stimulus.""]","['resistance']","","","['resistance to']","","","","","","","","","","","","","['resistant', 'resistance']",2,2,21.75907163632706,13.705178446135614,33.74610775571004,"",""
"http://purl.obolibrary.org/obo/OBI_0000181","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","","","","['population']","","['population']","","","","","","","","","","","['population']",1,1,25.256777271947186,25.256777271947186,25.256777271947186,"",""
"http://purl.obolibrary.org/obo/FOODON_03530251","['A food which is produced from an organism which has changes in its DNA as a result of genetic engineering.']","['bioengineered food', 'GE food', 'genetically engineered food']","['GMO']","[""LanguaL curation note: 'Genetically modified food' means food containing, consisting of or produced from GMOs - in accordance with REGULATION (EC) No 1829/2003 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 22 September 2003 on genetically modified food and feed.""]","['food (genetically-modified)']","","","","","","","","","","","","","['gmo', 'GMO']",2,7,6.649872429897461,6.567925246284105,23.54982091225278,"",""
"http://purl.obolibrary.org/obo/PATO_0000085","[""A quality inhering in a bearer by virtue of the bearer's disposition to detect or perceive external stimulation.""]","['sensitivity']","","","['sensitivity toward']","","","","","","","","","","","","","['sensitive', 'sensitivity']",2,2,15.212948575157892,9.167152247549996,22.572176551706942,"",""
"http://purl.obolibrary.org/obo/PATO_0001178","[""A resistance quality inhering in a bearer by virtue of the bearer's resistance to a stimulus.""]","['resistant']","","","['resistant to']","","","","","","","","","","","","","['resistant']",1,1,21.091342353525757,21.091342353525757,21.091342353525757,"",""
"http://snomed.info/id/404187006","","","","","['Statement of needs (record artifact)']","","","","['Statement of needs']","","","","","","","","","['statement', 'Statement']",2,2,8.283247936999318,8.277175084921648,20.38079572815804,"",""
"http://purl.obolibrary.org/obo/APOLLO_SV_00000121","","","","","['species']","","","","","","","['species']","['an interbreeding population']","","","","","['specie']",1,2,15.275074383749274,15.275074383749274,18.805822490980958,"",""
