"uri","iao_definition","label","oio_exact_synonym","oio_synonym","oio_related_synonym","skos_alt_label","skos_pref_label","rdf_comment","iao_preferred_label","iao_alternative_term","apollo_label","obo_relational_adjective","obo_homology_notes","oio_broad_synonym","iao_elucidation","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","obo_external_definition","skos_definition","oio_narrow_synonym","iao_nl_axiom"
"http://purl.obolibrary.org/obo/PATO_0000033","[""A quality inhering in a substance by virtue of the amount of the bearer's there is mixed with another substance.""]","['concentration of']","['concentration']","","","","","","['concentration of']","","","","","","","['concentration']",1,4,38.76786029352068,25.89361388627809,39.24737953425539,"","","",""
"http://snomed.info/id/13644009","","['Hypercholesterolemia (disorder)']","","","","['High cholesterol']","['Hypercholesterolaemia', 'Hypercholesterolemia']","","","","","","","","","['high cholesterol']",1,1,33.033643698057176,33.033643698057176,33.033643698057176,"","","",""
"http://purl.obolibrary.org/obo/CHEBI_33232","['Intended use of the molecular entity or part thereof by humans.']","['application']","","","","","","","","","","","","","","['application', 'applicant']",2,2,22.71193223403849,11.4440044385661,28.178444261670162,"","","",""
"http://purl.obolibrary.org/obo/OBI_0000181","['a population is a collection of individuals from the same taxonomic class living, counted or sampled at a particular site or in a particular area']","['population']","","","","","","","['population']","","","","","","","['population']",1,1,26.824353286239944,26.824353286239944,26.824353286239944,"","","",""
"http://purl.obolibrary.org/obo/MP_0000181","['any anomaly in the amount in the blood of the lipoprotein:cholesterol complex that transports cholesterol out of the arteries and around the body, for use by various tissues in normal bodily functions']","['abnormal circulating LDL cholesterol level']","['abnormal blood LDL cholesterol level']","","['abnormal circulating beta-lipoprotein level']","","","","","","","","","","","['blood cholesterol', 'lower/reduce blood cholesterol']",2,5,11.339131759351005,7.692979805676447,24.93535694058748,"","","",""
"http://purl.obolibrary.org/obo/UO_0000033","['A time unit which is equal to 24 hours.']","['day']","","","","","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","['day']","","","","","","","['day']",1,1,19.16056714827882,19.16056714827882,19.16056714827882,"","","",""
"http://purl.obolibrary.org/obo/UBERON_0013755","['A blood that is part of a artery.']","['arterial blood']","['arterial blood', 'blood in artery', 'portion of arterial blood']","","","","","","['arterial blood']","","","","","","","['blood']",1,1,12.007194114279615,12.007194114279615,12.007194114279615,"","","",""
"http://purl.obolibrary.org/obo/GAZ_00002955","['A country in southern Central Europe bordering Italy to the west, the Adriatic Sea to the southwest, Croatia to the south and east, Hungary to the northeast, and Austria to the north. The capital of Slovenia is Ljubljana. As of 2005-05 Slovenia is divided into 12 statistical regions for legal and statistical purposes. Slovenia is divided into 210 local municipalities, eleven of which have urban status.']","['Slovenia']","['Republic of Slovenia', 'Republika Slovenija']","","","","","['LanguaL curation note: US FDA 1995 Code:  SI']","","['slovenia']","","","","","","['Slovenia']",1,1,11.893937692932118,11.893937692932118,11.893937692932118,"","","",""
"http://purl.obolibrary.org/obo/IAO_0000320","['A part of a document that has citations as parts']","['references section']","","","","","","","['references section']","['literature cited', 'reference', 'reference list', 'references']","","","","","","['reference']",1,2,9.258122510299103,9.110437125485484,11.216263770171572,"","","",""
"http://purl.obolibrary.org/obo/FOODON_03401328","['Fibre supplements (or fiber supplements) are considered to be a form of a subgroup of functional dietary fibre, and in the United States are defined by the Institute of Medicine (IOM). According to the IOM, functional fibre ""consists of isolated, non-digestible carbohydrates that have beneficial physiological effects in humans"".\n\nFibre supplements are widely available, and can be found in forms such as powders, tablets and capsules. Consumption of fibre supplements may be for: improving dietary intake, lowering blood cholesterol, alleviating irritable bowel syndrome, reducing the risk of colon cancer, and increasing feelings of satiety. [http://en.wikipedia.org/wiki/Fibre_supplements]']","['dietary supplement, fibre']","['fibre', 'fiber', 'fiber supplement']","['fibre supplement']","","","","","","","","","","","","['fibre']",1,1,10.497885548733068,10.497885548733068,10.497885548733068,"","","",""
"http://purl.obolibrary.org/obo/UO_1000033","","['day based unit']","","","","","","","","","","","","","","['day']",1,1,9.58028357413941,9.58028357413941,9.58028357413941,"","","",""
"http://purl.obolibrary.org/obo/IAO_0000027","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","['data item', 'data item']","","","","","","","['data item', 'data item']","['data']","","","","","","['datum']",1,1,9.282966978809933,9.282966978809933,9.282966978809933,"","","",""
"http://snomed.info/id/444278006","","['Fiancé of subject (person)']","","","","['Fiance of subject']","['Fiancé of subject']","","","","","","","","","['subject']",1,1,8.80554920172356,8.80554920172356,8.80554920172356,"","","",""
"http://purl.obolibrary.org/obo/IAO_0020000","['An identifier is an information content entity that is the outcome of a dubbing process and is used to refer to one instance of entity shared by a group of people to refer to that individual entity.']","['identifier']","","","","","","","['identifier']","","['name']","","","","","['identify']",1,1,8.662195404338158,8.662195404338158,8.662195404338158,"","","",""
"http://purl.obolibrary.org/obo/PATO_0002182","['A quality which inheres in a molecular entity, a single molecule, atom, ion, radical etc.']","['molecular quality']","['relational molecular quality']","","","","","","['molecular quality']","","","","","","","['concentration']",1,4,8.437345654077467,5.6354250386179325,8.541707090360699,"","","",""
"http://snomed.info/id/12893009","","['Biologic (qualifier value)']","","","","['Biological']","['Biologic']","","","","","","","","","['biological']",1,1,8.075660570834973,8.075660570834973,8.075660570834973,"","","",""
