"uri","chebi_formula","iao_definition","oio_exact_synonym","oio_related_synonym","label","skos_alt_label","skos_definition","skos_pref_label","iao_preferred_label","rdf_comment","oio_narrow_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHEBI_81696","['C8H10N2O4S']","['A carbamate ester that is methyl carbamate substituted by a (4-aminophenyl)sulfonyl group at the nitrogen atom. A dihydropteroate synthase inhibitor, it is used (normally as the corresponding sodium salt, asulam-sodium) as a herbicide, mainly for killing bracken.']","['methyl [(4-aminophenyl)sulfonyl]carbamate']","['4-Amino-benzolsulfonyl-methylcarbamat', 'asulame', 'methyl N-(4-aminobenzenesulfonyl)carbamate', 'methyl sulfanilylcarbamate', 'N(1)-methoxycarbonylsulfanilamide']","['asulam']","","","","","","","['asulam']",1,4,8.846159230587883,8.846155623255163,13.408264628096966,""
"http://purl.obolibrary.org/obo/CHEBI_33708","","['When two or more amino acids combine to form a peptide, the elements of water are removed, and what remains of each amino acid is called an amino-acid residue.']","['amino acid residue', 'amino-acid residue']","['amino acid residue', 'amino-acid residues']","['amino-acid residue']","","","","","","['protein residue']","['residue']",1,2,13.390947284651705,10.459157182538764,12.876732933578955,""
"http://purl.obolibrary.org/obo/FOODON_03400356","","","","","['European Union agency food product type', 'product type, European Union']","","","","","['LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.']","","['European Union', 'EFSA', 'European Food Safety Authority']",3,4,9.090398379239142,2.458251137756971,11.178035922423826,""
"http://purl.obolibrary.org/obo/HANCESTRO_0005","","['Includes individuals who either self-report or have been described by authors as\n\nEuropean, Caucasian, White or one of the sub-populations from this region (e.g Dutch). This category also includes individuals who genetically cluster with reference populations from this region, for example 1000 Genomes and/or HapMap CEU, FIN, GBR, IBS and TSI populations.']","['white', 'Caucasian']","","['European']","","","","","","","['european']",1,1,11.048421695457183,11.048421695457183,11.048421695457183,""
"http://purl.obolibrary.org/obo/BTO_0000042","","['Any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation.']","","['animalia', 'metazoa', 'Tier']","['animal']","","","","","","","['animal']",1,1,10.21432566726913,10.21432566726913,10.21432566726913,""
"http://purl.obolibrary.org/obo/BTO_0001481","","['Any of a kingdom (Plantae) of living things typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.']","","['Pflanze', 'plantae', 'viridiplantae']","['plant']","","","","","","","['plant']",1,1,9.277502779935109,9.277502779935109,9.277502779935109,""
"http://purl.obolibrary.org/obo/CHEBI_13941","['CH2NO2']","","['carbamate']","['Carbamat', 'carbamate ion', 'carbamic acid, ion(1-)', 'Karbamat']","['carbamate']","","","","","","","['carbamate']",1,1,9.038249924814977,9.038249924814977,9.038249924814977,""
"http://purl.obolibrary.org/obo/GO_0051170","","['The directed movement of substances into the nucleus.']","['nuclear import', 'single organism nuclear import', 'substance nuclear import']","['single-organism nuclear import']","['import into nucleus']","","","","","","","['import']",1,1,7.48888385234132,7.48888385234132,7.48888385234132,""
"http://purl.obolibrary.org/obo/BTO_0000000","","['A structured controlled vocabulary for the source of an enzyme. It comprises terms of tissues, cell lines, cell types and cell cultures from uni- and multicellular organisms.']","","","['tissues, cell types and enzyme sources']","","","","","","","['plant', 'animal']",2,2,3.151292410777605,3.006779549563549,7.403559689209815,""
"http://purl.obolibrary.org/obo/FOODON_03520367","","['A commission that administrates a collection of internationally recognized standards, codes of practice, guidelines, and other recommendations relating to foods, food production, and food safety.']","","","['Codex Alimentarius Commission']","","","","","['LanguaL curation note: US FDA 1995 Code:  QZ02']","","['Codex Alimentarius Commission']",1,1,6.445003443732044,6.445003443732044,6.445003443732044,""
