"uri","iao_definition","iao_alternative_term","oio_exact_synonym","oio_synonym","rdf_comment","label","skos_alt_label","skos_pref_label","chebi_formula","oio_related_synonym","oio_broad_synonym","skos_definition","oio_narrow_synonym","iao_preferred_label","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","obo_relational_adjective"
"http://purl.obolibrary.org/obo/FOODON_03310675","['Precooked or cured meat, often sausages or meat loaves, that are sliced and served cold or hot on sandwiches or on party trays.']","","['cold cut', 'deli meat', 'lunch meat']","","[""SIREN DB annotation:\n\n* has quality 'solid' (http://purl.obolibrary.org/obo/FOODON_03430151)\n\n* has quality 'fully heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440014)\n\n* derives from 'skeletal meat part, without bone, without skin' (http://purl.obolibrary.org/obo/FOODON_03420268)\n\n* formed as a result of 'curing or aging process' (http://purl.obolibrary.org/obo/FOODON_03460253)\n\n* has substance added  'flavoring, spice or herb added' (http://purl.obolibrary.org/obo/FOODON_03460227)""]","['luncheon meat']","","","","","","","","","['meat']",1,5,36.56094458761209,30.69663140260361,49.74869817887575,"",""
"http://purl.obolibrary.org/obo/FOODON_03315904","","['sausages']","['sausage']","","[""SIREN DB annotation:\n\n* has quality 'whole, shape achieved by forming' (http://purl.obolibrary.org/obo/FOODON_03430147)\n\n* derives from 'meat part of animal' (http://purl.obolibrary.org/obo/FOODON_03420103)\n\n* has substance added  'flavoring, spice or herb added' (http://purl.obolibrary.org/obo/FOODON_03460227)""]","['sausage (formed)']","","","","","","","","","['sausage']",1,1,32.15194407420523,32.15194407420523,32.15194407420523,"",""
"http://purl.obolibrary.org/obo/FOODON_00002502","['Ham is pork from a leg cut that has been preserved by wet or dry curing, with or without smoking.  As a processed meat, the term ""ham"" includes both whole cuts of meat and ones that have been mechanically formed.']","['ham']","['ham']","","","['ham food product']","","","","","","","","","['ham']",1,1,29.539625612691076,29.539625612691076,29.539625612691076,"",""
"http://purl.obolibrary.org/obo/CHEBI_16113","['A cholestanoid consisting of cholestane having a double bond at the 5,6-position as well as a 3beta-hydroxy group.']","","['cholest-5-en-3beta-ol', 'cholesterol', 'Cholesterol', 'CHOLESTEROL']","","","['cholesterol']","","","['C27H46O']","['(3beta,14beta,17alpha)-cholest-5-en-3-ol', 'Cholest-5-en-3beta-ol', 'Cholesterin']","","","","","['cholesterol']",1,1,28.603503109537918,28.603503109537918,28.603503109537918,"",""
"http://purl.obolibrary.org/obo/FOODON_03312067","","","","","[""SIREN DB annotation:\n\n* has quality 'whole, shape achieved by forming, thickness 1.5-7 cm.' (http://purl.obolibrary.org/obo/FOODON_03430105)\n\n* has quality 'not heat-treated' (http://purl.obolibrary.org/obo/FOODON_03440003)\n\n* has quality 'solid containing very small particles (<1 mm.)' (http://purl.obolibrary.org/obo/FOODON_03530098)\n\n* derives from 'skeletal meat part, without bone and skin, with separable fat' (http://purl.obolibrary.org/obo/FOODON_03420269)\n\n* formed as a result of 'water removal process' (http://purl.obolibrary.org/obo/FOODON_03460138)\n\n* formed as a result of 'flavoring, spice or herb added, natural' (http://purl.obolibrary.org/obo/FOODON_03460229)\n\n* formed as a result of 'curing or aging process' (http://purl.obolibrary.org/obo/FOODON_03460253)\n\n* formed as a result of 'preservation by dehydration or drying' (http://purl.obolibrary.org/obo/FOODON_03470116)\n\n* has substance added  'animal fat or oil added' (http://purl.obolibrary.org/obo/FOODON_03460262)""]","['salami']","","","","","","","","","['salami']",1,1,24.41906427862919,24.41906427862919,24.41906427862919,"",""
"http://purl.obolibrary.org/obo/CHEBI_25805","['A chalcogen that has formula O.']","","['oxygen']","","","['Oxygen', 'oxygen atom']","","","['O']","['[O]', '8O', 'InChI=1S/O', 'InChIKey=QVGXLLKOCUKJST-UHFFFAOYSA-N', 'O', 'oxigeno', 'oxygen', 'oxygene', 'Sauerstoff']","","","","","['oxygen']",1,3,18.656670421622604,17.078646222754973,23.745964751775222,"",""
"http://purl.obolibrary.org/obo/FOODON_03411136","['Suidae is a family of artiodactyl mammals which are commonly called pigs, hogs or boars.']","['Pork']","['porcine', 'sus domesticus', 'sus scrofa', 'sus scrofa domesticus']","","","['swine']","","","","","","","['Sus scrofa Linnaeus, 1758', 'hog', 'pig']","","['ham', 'salami', 'sausage']",3,3,6.2756525546749,5.60256863248254,23.36925225766601,"['In addition to numerous fossil species, 17 extant species are currently recognized (or 18 counting domestic pigs and wild boars separately), classified into between four and eight genera. The family includes the domestic pig, Sus scrofa domesticus or Sus domesticus, in addition to numerous species of wild pig, such as babirusas and warthogs. All suids, or swine, are native to the Old World, ranging from Asia to Europe and Africa. [Wikipedia]']",""
"http://purl.obolibrary.org/obo/PATO_0000165","['A quality in which events occur in sequence.']","","","","","['time']","","","","","","","","['time']","['time']",1,1,22.793513020228282,22.793513020228282,22.793513020228282,"",""
"http://snomed.info/id/28647000","","","","","","['Meat (substance)']","","['Meat']","","","","","","","['meat']",1,1,19.99339540733955,19.99339540733955,19.99339540733955,"",""
"http://purl.obolibrary.org/obo/FOODON_00001605","","","","","","['animal product sausage']","","","","","","","","","['meat', 'salami']",2,6,6.524975777805618,5.291656154944861,18.11619502478893,"",""
