"uri","iao_definition","oio_exact_synonym","oio_narrow_synonym","rdf_comment","label","oio_related_synonym","iao_preferred_label","iao_alternative_term","skos_alt_label","skos_pref_label","chebi_formula","skos_definition","apollo_label","iao_elucidation","obi_niaid_term","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","oio_broad_synonym","iao_nl_axiom","obo_relational_adjective"
"http://purl.obolibrary.org/obo/FOODON_03530251","['A food which is produced from an organism which has changes in its DNA as a result of genetic engineering.']","['bioengineered food', 'GE food', 'genetically engineered food']","['GMO']","[""LanguaL curation note: 'Genetically modified food' means food containing, consisting of or produced from GMOs - in accordance with REGULATION (EC) No 1829/2003 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 22 September 2003 on genetically modified food and feed.""]","['food (genetically-modified)']","","","","","","","","","","","","['gmo', 'efsa‐gmo‐de‐2010‐82', 'GMO']",3,3,19.176121052904737,12.78408070193649,53.32454208125131,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_381124","","['corn', 'Indian corn', 'maize', 'Zea mays subsp. sacharata', 'Zea mays var. sacharata']","","","['Zea mays subsp. mays']","['Zea mays subsp. amylacea', 'Zea mays subsp. ceratina', 'Zea mays subsp. everta', 'Zea mays subsp. indurata', 'Zea mays subsp. ramosa', 'Zea mays subsp. saccharata', 'Zea mays subsp. saccharata (Sturtev.) Zhuk., 1950', 'Zea mays subsp. tunicata', 'Zea mays var. mays', 'Zea mays var. saccharata', 'Zea ramosa', 'Zea saccharata']","","","","","","","","","","","['maize ( Zea mays )']",1,1,47.2171927385212,47.2171927385212,47.2171927385212,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_2","","['Bacteria <prokaryote>', 'eubacteria']","","","['Bacteria', 'Bacteria']","['bact-', 'bacteria', 'Monera', 'not Bacteria Haeckel 1894', 'Procaryotae', 'Prokaryota', 'Prokaryotae', 'prokaryote', 'prokaryotes']","['Bacteria']","['eubacteria']","","","","","","","","","['bacteria']",1,1,44.13838371554383,44.13838371554383,44.13838371554383,"","",""
"http://purl.obolibrary.org/obo/CHEBI_33232","['Intended use of the molecular entity or part thereof by humans.']","","","","['application']","","","","","","","","","","","","['application']",1,2,33.27561031159284,32.89579091374583,40.499469206020635,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_4577","","['maize']","","['FoodOn Note: the NCBITaxon exact synonym ""maize"" is more appropriate for ""Zea mays subsp. mays""']","['Zea mays']","['Zea mays var. japonica']","","","","","","","","","","","['maize', 'maize ( Zea mays )']",2,10,13.16863484446472,10.060268752294864,40.14575023982586,"","",""
"http://purl.obolibrary.org/obo/ENVO_01000987","['A part of an ecosystem where people gather for the purchase and sale of provisions, livestock, and other goods.']","['bazaar', 'marketplace', 'mercado', 'palengke', 'souk', 'tianguis']","","['As with campgrounds and fairgrounds, land use is the key differentia here. The regularity of marketplace activities may provide a differentia for further growth of this branch.']","['market']","","","","","","","","","","","","['market']",1,2,25.25810697360886,24.66196592824177,30.362441574657527,"","",""
"http://snomed.info/id/276339004","","","","","['Environment (environment)']","","","","['Environments']","['Environment']","","","","","","","['environment']",1,1,30.224601961254898,30.224601961254898,30.224601961254898,"","",""
"http://purl.obolibrary.org/obo/OBI_0000260","['A plan is a realizable entity that is the inheres in a bearer who is committed to realizing it as a planned process.']","","","","['plan']","","['plan']","","","","","","","","","","['plan']",1,1,27.950691132983327,27.950691132983327,27.950691132983327,"","",""
"http://purl.obolibrary.org/obo/FOODON_03530151","","","","","['biotechnologically derived food']","","","","","","","","","","","","['gmo', 'efsa‐gmo‐de‐2010‐82', 'GMO']",3,3,9.588060526452368,6.392040350968245,26.662271040625654,"","",""
"http://purl.obolibrary.org/obo/BTO_0000042","['Any of a kingdom (Animalia) of living things including many-celled organisms and often many of the single-celled ones (as protozoans) that typically differ from plants in having cells without cellulose walls, in lacking chlorophyll and the capacity for photosynthesis, in requiring more complex food materials (as proteins), in being organized to a greater degree of complexity, and in having the capacity for spontaneous movement and rapid motor responses to stimulation.']","","","","['animal']","['animalia', 'metazoa', 'Tier']","","","","","","","","","","","['animal']",1,1,25.055364081056876,25.055364081056876,25.055364081056876,"","",""
"http://purl.obolibrary.org/obo/PATO_0000025","[""A single physical entity inhering in an bearer by virtue of the bearer's quantities or relative ratios of subparts.""]","['composed of', 'compositionality', 'content', 'structure, composition']","","['For example calcium composition (which may inhere in bone), haemoglobin composition (which may inhere in blood).']","['composition']","","['composition']","","","","","","","","","","['compositional', 'composition']",2,2,12.081457273768958,9.479927042123045,23.342318433654366,"","",""
"http://purl.obolibrary.org/obo/IAO_0000088","['A document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record).']","","","","['report']","","['report']","","","","","","","","","","['report', 'reporting']",2,2,16.069364137257175,8.271092245768932,20.365818021277757,"","",""
"http://purl.obolibrary.org/obo/NCBITaxon_Union_0000000","","","","","['Viridiplantae or Bacteria']","","","","","","","","","","","","['bacteria']",1,1,17.925753972120763,17.925753972120763,17.925753972120763,"","",""
"http://purl.obolibrary.org/obo/UO_0010031","","['gr']","","['""An imperial mass unit which is equivalent to 64.798,91 milligrams."" [Wikipedia:Wikipedia]']","['grain']","","","","","","","","","","","","['grain']",1,1,17.67086179397129,17.67086179397129,17.67086179397129,"","",""
"http://purl.obolibrary.org/obo/FOODON_00003194","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","['vegetarian food']","","","['vegetarian food product']","","","","","","","","","","","","['food']",1,3,11.787677413967375,11.422796376033602,15.882132375960936,"","",""
"http://purl.obolibrary.org/obo/CHEBI_36080","['A biological macromolecule minimally consisting of one polypeptide chain synthesized at the ribosome.']","['proteins']","","","['protein']","","","","","","","","","","","","['protein']",1,3,10.56875261007013,10.528643404170582,14.638911767276806,"","",""
"http://purl.obolibrary.org/obo/FOODON_00001873","['A spread is a food that is spread, generally with a knife, onto foods such as bread and crackers.']","['spread']","","[""SIREN DB annotation:\n\n* has quality 'semisolid' (http://purl.obolibrary.org/obo/FOODON_03430144)""]","['food spread']","","","","","","","","","","","","['spread']",1,1,14.5852838300725,14.5852838300725,14.5852838300725,"","",""
"http://purl.obolibrary.org/obo/CHMO_0010024","","","","","['risk assessment']","","","","","","","","","","","","['risk assessment']",1,1,13.272945189155609,13.272945189155609,13.272945189155609,"","",""
"http://purl.obolibrary.org/obo/PR_000018263","['An organic amino compound that consists of amino acid residues (unmodified amino-acid residues and/or modified amino-acid residues) linked by peptide bonds or derivatives of such bonds.', 'An organic amino compound that is a polymer of amino acid chain components (unmodified amino-acid residues and/or modified amino-acid residues) linked by peptide bonds or derivatives of such bonds.']","","['peptide', 'polypeptide']","['Category=external.']","['amino acid chain']","","","","","","","","","","","","['vip3aa20 protein', 'protein']",2,4,4.2922473170128415,4.091118864611001,12.401953277308209,"","",""
"http://snomed.info/id/308916002","","","","","['Environment or geographical location (environment / location)']","","","","['Environments and geographical locations']","['Environment or geographical location']","","","","","","","['environment']",1,1,12.275002685971334,12.275002685971334,12.275002685971334,"","",""
