"uri","iao_definition","label","oio_related_synonym","skos_pref_label","chebi_formula","oio_exact_synonym","skos_alt_label","iao_preferred_label","rdf_comment","skos_definition","iao_alternative_term","oio_narrow_synonym","oio_synonym","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","iao_elucidation","iao_nl_axiom"
"http://snomed.info/id/129265001","","['Evaluation - action (qualifier value)']","","['Evaluation - action']","","","['Assessment', 'Evaluation', 'Patient evaluation - action']","","","","","","","['Evaluation', 'evaluation', 'evaluate']",3,7,12.114504514798789,3.3286584396690766,17.902756317898575,"",""
"http://purl.obolibrary.org/obo/PATO_0000152","[""A quality inhering in a bearer by virtue of the bearer's sensitivity towards a fixed location or value where a change is observed; upper limit.""]","['threshold']","","","","","","","","","","","","['threshold']",1,1,16.928527391482785,16.928527391482785,16.928527391482785,"",""
"http://purl.obolibrary.org/obo/CHEBI_29256","[""A thiol is a compound having the structure RSH (where R is not H). Thiols are also known by the term 'mercaptans' (abandoned by IUPAC)."", 'An organosulfur compound in which a thiol group, -SH, is attached to a carbon atom of any aliphatic or aromatic moiety.']","['thiol']","['[H]S[*]', 'a thiol', 'HSR', 'Mercaptan', 'mercaptans', 'Merkaptan', 'RSH', 'thiols']","","['HSR']","['Thiol', 'thiols']","","","","","","","","['thiol']",1,3,14.673847730224812,11.763985176673598,16.35651758940386,"",""
"http://purl.obolibrary.org/obo/CHEBI_33473","['A divalent group, R2C=, formed by removing two hydrogen atoms from the same carbon atom of a hydrocarbon, the free valencies of which are engaged in a double bond.']","['hydrocarbylidene group']","['groupe hydrocarbylidene', 'grupo hidrocarbilideno', 'grupos hidrocarbilideno', 'R2C=']","","","['hydrocarbylidene group', 'hydrocarbylidene groups']","","","","","","","","['group']",1,1,11.524290588502128,11.524290588502128,11.524290588502128,"",""
"http://purl.obolibrary.org/obo/IAO_0000027","['a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.', 'An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements.']","['data item', 'data item']","","","","","","['data item', 'data item']","","","['data']","","","['datum']",1,2,8.782316484040049,8.55504891037942,10.532500671906135,"",""
"http://snomed.info/id/284648005","","['Dietary intake finding (finding)']","","['Dietary intake finding']","","","['Dietary intake observations']","","","","","","","['dietary intake']",1,1,9.224212469243662,9.224212469243662,9.224212469243662,"",""
"http://snomed.info/id/64427006","","['Toxicologic (qualifier value)']","","['Toxicologic']","","","['Toxicological']","","","","","","","['toxicological']",1,1,8.711209746815952,8.711209746815952,8.711209746815952,"",""
"http://purl.obolibrary.org/obo/OBI_0000427","['(protein or rna) or has_part (protein or rna) and\n\nhas_function some GO:0003824 (catalytic activity)']","['enzyme']","","","","","","['enzyme']","","","","","","['enzyme']",1,1,8.314406225605447,8.314406225605447,8.314406225605447,"",""
"http://purl.obolibrary.org/obo/MP_0011940","['reduction in the total number of calories or food amount taken in over time when compared to the normal state']","['decreased food intake']","['anorexia', 'loss of appetite']","","","['hypophagia', 'reduced food intake']","","","","","","","","['intake']",1,2,6.536366755004966,6.536192630697791,8.046997041829798,"",""
"http://purl.obolibrary.org/obo/GO_0008152","['The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation.']","['metabolic process']","['single-organism metabolic process']","","","['metabolism']","","","['Note that metabolic processes do not include single functions or processes such as protein-protein interactions, protein-nucleic acids, nor receptor-ligand interactions.']","","","['metabolic process resulting in cell growth', 'metabolism resulting in cell growth', 'multicellular organism metabolic process']","","['metabolism']",1,1,5.9903074891715296,5.9903074891715296,5.9903074891715296,"",""
"http://purl.obolibrary.org/obo/CHEBI_33653","['Any acyclic or cyclic, saturated or unsaturated carbon compound, excluding aromatic compounds.']","['aliphatic compound']","","","","['aliphatic compounds']","","","","","","","","['aliphatic sulphide']",1,1,5.530055902577007,5.530055902577007,5.530055902577007,"",""
"http://snomed.info/id/129228003","","['Transcrotal approach (qualifier value)']","","['Transcrotal approach']","","","['Transscrotal approach']","","","","","","","['approach']",1,2,4.372226266095385,4.372225516124673,5.382841018060985,"",""
"http://snomed.info/id/272151006","","['Relationships (qualifier value)']","","['Relationships']","","","","","","","","","","['relationship']",1,1,4.486627993032846,4.486627993032846,4.486627993032846,"",""
"http://snomed.info/id/117496002","","['Aliphatic hydrocarbon (substance)']","","['Aliphatic hydrocarbon']","","","","","","","","","","['aliphatic']",1,1,4.205185029721042,4.205185029721042,4.205185029721042,"",""
"http://purl.obolibrary.org/obo/PATO_0000085","[""A quality inhering in a bearer by virtue of the bearer's disposition to detect or perceive external stimulation.""]","['sensitivity toward']","","","","['sensitivity']","","","","","","","","['threshold']",1,1,3.921084298723878,3.921084298723878,3.921084298723878,"",""
"http://snomed.info/id/88323005","","['Adequate (qualifier value)']","","['Adequate']","","","","","","","","","","['adequate']",1,1,3.2208642341023555,3.2208642341023555,3.2208642341023555,"",""
