"uri","iao_definition","oio_related_synonym","label","skos_pref_label","iao_preferred_label","iao_alternative_term","skos_alt_label","oio_exact_synonym","rdf_comment","oio_narrow_synonym","chebi_formula","oio_synonym","skos_definition","obo_external_definition","obo_relational_adjective","obo_taxon_notes","obo_external_ontology_notes","obo_homology_notes","lemma","lemma_nunique","lemma_count","score_max","score_mean","score2","apollo_label","oio_broad_synonym"
"http://purl.obolibrary.org/obo/CHEBI_64948","['An alkaloid based on the structure of pyrrolizidine.']","['pyrrolizidine alkaloids']","['pyrrolizidine alkaloid']","","","","","","","","","","","","","","","","['pyrrolizidine alkaloid ( pa )', 'pyrrolizidine alkaloid']",2,3,19.795456168541445,14.474915025323297,40.25153018490509,"",""
"http://purl.obolibrary.org/obo/PATO_0000384","['A biological sex quality inhering in an individual or a population whose sex organs contain only male gametes.', 'A biological sex quality inhering in an individual or a population whose sex organs contain only male gametes.']","","['male', 'male']","","['male', 'male']","","","","","","","","","","","","","","['male']",1,1,27.160193021057925,27.160193021057925,27.160193021057925,"",""
"http://purl.obolibrary.org/obo/UBERON_0036016","['A sweet viscid material elaborated out of the nectar of flowers in the honey sac of various bees.']","","['honey']","","","","","","['LanguaL term definition: A sweet viscous material produced by bees from nectar or aphid secretions. Contains primarily fructose and dextrose.']","","","","","","","","","","['honey']",1,5,16.073205728768492,16.05218054859437,26.015072297382716,"",""
"http://purl.obolibrary.org/obo/UO_0000033","['A time unit which is equal to 24 hours.']","","['day']","","['day']","","","","['""A time unit which is equal to 24 hours."" [Wikipedia:Wikipedia]']","","","","","","","","","","['day']",1,1,20.023302479476854,20.023302479476854,20.023302479476854,"",""
"http://purl.obolibrary.org/obo/FOODON_00003194","['A food product not including meat and animal tissue products (such as gelatin or animal-derived rennet).']","","['vegetarian food product']","","","","","['vegetarian food']","","","","","","","","","","","['food']",1,4,10.708590105530115,10.33437570830911,15.663984465626747,"",""
"http://purl.obolibrary.org/obo/FOODON_03401298","['Index dietary/food supplements according to legal and market definitions.']","","['dietary supplement']","","","","","","['LanguaL curation note: This term is for CLASSIFICATION ONLY; DO NOT USE term in indexing. Use a more precise narrower term.', 'The United States defines dietary supplements in the Dietary Supplement Health and Education Act of 1994 (DSHEA). Pub L 103-417, 108 STAT. 4235, (Oct. 25, 1994): A dietary supplement is a product taken by mouth that contains a ""dietary ingredient"" intended to supplement the diet. The ""dietary ingredients"" in these products may include: vitamins, minerals, herbs or other botanicals, amino acids, and substances such as enzymes, organ tissues, glandulars, and metabolites. Dietary supplements can also be extracts or concentrates, and may be found in many forms such as tablets, capsules, softgels, gelcaps, liquids, or powders.\n\n\n\nIn the European Union, food supplements are framed by two kinds of regulations: \n\n- the EU vertical regulation relating to food supplements, composed with the directive 2002/46/CE  (essentially for the definition of food supplements) and the regulation 1170/2009 (which lists the vitamins and minerals, and the chemical forms of the substances allowed in food supplements); \n\n- the EU transversal regulation relating to foodstuffs and especially the 2006/1924 regulation concerning nutrition and health claims, and the EU labeling transversal regulations, 90/496/EC and 2008/100/EC.\n\nThe EU regulation 2002/46/CE defines food supplements as ""foodstuffs the purpose of which is to supplement the normal diet and which are concentrated sources of nutrients or other substances with a nutritional or physiological effect, alone or in combination, marketed in dose form, namely forms such as capsules, pastilles, tablets, pills and other similar forms, sachets of powder, ampoules of liquids, drop dispensing bottles, and other similar forms of liquids and powders designed to be taken in measured small unit quantities"". [Directive 2002/46/EC]\n\n\n\nCodex Alimentarius also includes supplements containing vitamins or dietary minerals [http://www.codexalimentarius.net/download/standards/10206/cxg_055e.pdf]']","","","['food supplement', 'nutritional supplement']","","","","","","","['health concern', 'dietary']",2,3,8.285726895940522,5.393092182634948,14.996993930502043,"",""
"http://purl.obolibrary.org/obo/OBI_0000984","['A measurement datum that measures the quantity of something that may be administered to an organism or that an organism may be exposed to. Quantities of nutrients, drugs, vaccines and toxins are referred to as doses.']","","['dose']","","['dose']","","","","","","","","","","","","","","['dose']",1,1,14.332869624391412,14.332869624391412,14.332869624391412,"",""
"http://purl.obolibrary.org/obo/FOBI_0168","","","['Confectioneries']","","","","","","","","","","","","","","","","['honey']",1,5,8.036602864384246,8.026090274297186,13.007536148691358,"",""
"http://snomed.info/id/242575009","","","['Accident due to exposure to weather conditions (event)']","['Accident due to exposure to weather conditions']","","","['Exposure']","","","","","","","","","","","","['exposure', 'exposure (']",2,5,4.325242445730792,3.4344482915801593,11.132122559499146,"",""
"http://purl.obolibrary.org/obo/UO_1000033","","","['day based unit']","","","","","","","","","","","","","","","","['day']",1,1,10.011651239738427,10.011651239738427,10.011651239738427,"",""
